timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
1,-9.78,0.28,0.32,0.49,0.73,-0.37
10,-9.81,0.24,0.35,0.06,-0.31,-0.06
20,-9.74,0.23,0.35,0.06,0.85,0.43
30,-9.87,0.25,0.39,0.00,-0.24,0.18
40,-9.80,0.22,0.33,0.24,0.67,0.61
50,-9.84,0.18,0.34,-0.55,-0.37,-0.06
60,-9.78,0.28,0.37,0.00,0.12,0.43
70,-9.77,0.26,0.38,0.06,1.04,0.06
80,-9.79,0.17,0.31,-0.55,0.43,-0.06
90,-9.70,0.26,0.25,0.06,0.12,-0.55
100,-9.71,0.28,0.27,-0.24,0.12,0.49
110,-9.73,0.14,0.28,-0.37,0.18,0.06
120,-9.78,0.23,0.38,1.16,0.37,0.12
130,-9.78,0.21,0.36,0.67,0.43,-0.18
140,-9.75,0.20,0.33,-0.55,0.49,-0.06
150,-9.77,0.26,0.31,-0.67,0.24,-0.12
160,-9.78,0.28,0.37,0.55,0.12,-0.43
170,-9.73,0.31,0.33,-0.31,0.31,0.18
180,-9.77,0.31,0.36,-0.18,1.28,-0.06
190,-9.73,0.29,0.40,0.18,0.24,0.00
200,-9.73,0.29,0.38,-0.18,0.73,-0.18
210,-9.79,0.22,0.29,0.06,0.55,-0.55
220,-9.74,0.27,0.36,1.04,1.28,-0.49
230,-9.81,0.27,0.36,-0.49,0.12,-0.49
240,-9.81,0.18,0.39,0.00,-0.18,-1.04
250,-9.88,0.19,0.43,0.43,0.31,-0.49
260,-9.76,0.28,0.40,-1.10,-0.06,0.43
270,-9.72,0.29,0.38,0.18,0.55,0.37
280,-9.75,0.18,0.28,0.18,0.79,-0.67
290,-9.75,0.20,0.37,-0.37,-0.18,-0.06
300,-9.82,0.21,0.38,0.12,0.06,-0.18
310,-9.76,0.22,0.36,0.24,0.79,0.49
320,-9.83,0.26,0.32,0.49,0.98,0.55
330,-9.76,0.17,0.37,0.06,0.31,0.12
340,-9.78,0.26,0.30,0.31,1.22,-0.24
350,-9.76,0.22,0.32,0.24,-0.43,-0.18
360,-9.66,0.30,0.35,-0.24,0.49,-0.73
370,-9.73,0.27,0.37,-0.92,-0.61,-0.12
380,-9.69,0.24,0.32,-0.43,0.24,0.06
390,-9.80,0.27,0.31,-0.12,0.06,-0.43
400,-9.77,0.23,0.34,-0.43,0.49,0.31
410,-9.73,0.18,0.33,-0.49,0.24,-0.67
420,-9.76,0.20,0.42,-0.61,0.79,0.06
430,-9.82,0.23,0.45,0.43,1.46,0.43
440,-9.79,0.21,0.41,0.61,0.55,0.00
450,-9.70,0.26,0.41,0.55,0.73,-0.49
460,-9.82,0.16,0.39,0.67,0.43,0.61
470,-9.79,0.16,0.37,-0.31,0.67,-0.43
480,-9.80,0.22,0.42,-0.31,-0.73,-0.92
490,-9.88,0.18,0.39,-0.79,0.55,-0.12
500,-9.79,0.20,0.35,0.49,0.92,0.24
510,-9.80,0.22,0.28,-0.18,0.43,-0.61
520,-9.71,0.33,0.36,1.04,1.53,0.06
530,-9.75,0.35,0.33,0.55,1.34,0.06
540,-9.78,0.22,0.36,0.18,0.55,-0.31
550,-9.74,0.25,0.39,-0.18,0.55,-0.37
560,-9.84,0.31,0.39,0.24,1.40,0.43
570,-9.77,0.28,0.38,0.49,0.67,-0.73
580,-9.78,0.24,0.37,0.31,-0.12,0.18
590,-9.84,0.15,0.34,1.22,0.85,-0.24
600,-9.77,0.21,0.33,-0.12,0.31,-0.12
610,-9.77,0.25,0.29,-0.06,0.61,0.12
620,-9.77,0.22,0.30,0.79,1.59,-0.85
630,-9.73,0.24,0.32,0.31,0.98,-0.61
640,-9.80,0.32,0.34,-0.43,0.31,-0.12
650,-9.77,0.20,0.36,0.55,1.10,0.67
660,-9.73,0.25,0.32,0.67,0.24,-0.06
670,-9.66,0.32,0.36,0.55,0.92,0.67
680,-9.85,0.31,0.31,0.24,1.28,-0.06
690,-9.71,0.30,0.31,-0.06,-0.49,-0.85
700,-9.90,0.28,0.43,-0.18,0.61,-0.06
710,-9.68,0.13,0.34,-0.12,1.04,0.00
720,-9.82,0.29,0.31,-0.49,0.37,0.06
