timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
1,-9.78,0.26,0.33,0.67,5.62,-0.24
10,-9.88,0.23,-0.25,-0.43,0.24,-0.31
20,-9.78,0.24,0.34,0.31,-2.50,0.06
30,-9.73,0.21,0.63,0.18,-0.18,-0.24
40,-9.79,0.19,0.53,0.37,3.78,-0.31
50,-9.81,0.11,-0.04,0.06,1.40,0.31
60,-9.76,0.37,0.31,0.73,-1.53,-0.67
70,-9.69,0.35,0.71,0.43,-0.43,-0.18
80,-9.76,0.29,0.45,1.04,2.93,0.37
90,-9.90,0.39,0.03,-0.37,0.79,-0.31
100,-9.79,0.33,0.16,0.61,-0.12,-0.79
110,-9.67,0.20,0.48,-0.43,-0.98,0.18
120,-9.69,0.19,0.44,-0.73,0.67,-0.18
130,-9.87,0.11,0.36,0.00,0.79,-0.24
140,-9.75,0.20,0.40,-0.49,-1.10,-0.12
150,-9.65,0.22,0.42,0.00,1.16,0.06
160,-9.76,0.37,0.15,1.04,3.36,-0.55
170,-9.84,0.24,0.12,-0.24,-0.24,-0.24
180,-9.79,0.30,0.50,-1.10,-1.10,0.18
190,-9.72,0.26,0.46,0.12,0.12,0.24
200,-9.84,0.23,0.40,0.49,2.08,0.43
210,-9.76,0.22,0.37,0.49,0.73,-0.37
220,-9.72,0.17,0.40,0.31,0.61,0.85
230,-9.64,0.18,0.44,-0.43,0.55,0.18
240,-9.79,0.34,0.24,0.61,1.65,-0.06
250,-9.71,0.25,0.31,0.31,1.53,0.37
260,-9.78,0.31,0.25,-0.24,0.49,0.31
270,-9.72,0.28,0.29,0.92,0.85,-0.06
280,-9.75,0.22,0.34,-0.55,-0.43,0.37
290,-9.71,0.20,0.49,-0.24,0.31,-0.18
300,-9.71,0.21,0.47,1.40,1.22,-0.31
310,-9.75,0.26,0.40,0.73,2.32,0.12
320,-9.80,0.24,0.27,0.43,1.46,0.12
330,-9.82,0.26,0.28,-0.12,0.31,-0.12
340,-9.74,0.23,0.29,0.24,0.31,0.55
350,-9.79,0.25,0.21,0.49,0.12,-0.18
360,-9.76,0.26,0.35,0.00,0.00,-0.31
370,-9.71,0.18,0.46,-0.92,-0.18,0.06
380,-9.78,0.26,0.44,-1.34,0.37,-0.49
390,-9.81,0.27,0.30,-0.24,-0.18,-0.12
400,-9.78,0.28,0.24,0.31,0.55,0.49
410,-9.77,0.23,0.37,0.31,0.73,-0.79
420,-9.76,0.21,0.34,-0.12,1.10,-1.16
430,-9.68,0.20,0.39,0.24,1.22,0.55
440,-9.78,0.25,0.38,0.37,1.65,-0.06
450,-9.74,0.25,0.41,0.49,0.00,0.06
460,-9.74,0.24,0.34,-0.12,2.44,0.24
470,-9.84,0.24,0.30,-0.31,0.37,-0.24
480,-9.75,0.25,0.26,0.31,1.53,0.67
490,-9.70,0.29,0.27,-0.18,0.31,0.61
500,-9.83,0.13,0.46,0.92,0.79,0.24
510,-9.87,0.10,0.55,-0.31,0.18,-0.24
520,-9.87,0.18,0.59,-0.31,-1.10,0.06
530,-9.78,0.32,0.29,0.85,2.56,-0.73
540,-9.80,0.22,0.10,-0.79,1.28,-0.24
550,-9.68,0.30,0.11,0.24,-0.49,-0.24
560,-9.72,0.18,0.46,-1.22,-1.83,0.18
570,-9.77,0.23,0.54,-0.43,0.61,0.12
580,-9.79,0.14,0.48,0.37,0.49,0.00
590,-9.80,0.24,0.40,0.61,1.71,-0.37
600,-9.80,0.28,0.23,0.92,1.53,0.37
610,-9.81,0.22,0.25,0.12,0.92,0.00
620,-9.63,0.26,0.27,0.06,0.55,0.55
630,-9.75,0.29,0.40,0.18,0.92,0.43
640,-9.76,0.27,0.40,0.12,0.98,0.98
650,-9.76,0.14,0.47,0.43,0.85,-0.43
660,-9.73,0.21,0.34,0.06,0.55,0.61
670,-9.67,0.21,0.36,-0.12,0.18,0.37
680,-9.71,0.24,0.39,0.00,0.73,-0.37
690,-9.78,0.25,0.32,0.31,1.40,-0.73
700,-9.84,0.22,0.35,-0.55,1.34,-0.06
710,-9.78,0.24,0.26,-0.18,0.43,-0.24
720,-9.76,0.30,0.30,-0.31,-0.31,0.12
730,-9.76,0.22,0.38,0.12,-0.12,-0.12
740,-9.71,0.17,0.48,1.10,1.22,-0.61
750,-9.78,0.22,0.37,0.37,1.71,0.31
760,-9.75,0.21,0.34,0.24,1.65,0.24
770,-9.82,0.26,0.26,-0.55,-0.24,0.37
780,-9.74,0.21,0.17,0.06,0.49,0.12
790,-9.73,0.19,0.31,-0.12,-0.43,-0.49
800,-9.86,0.29,0.29,0.92,1.34,0.00
810,-9.75,0.30,0.32,0.00,-0.06,-0.24
820,-9.81,0.27,0.35,0.31,1.10,1.53
830,-9.76,0.22,0.34,0.06,-0.12,-0.24
840,-9.78,0.19,0.38,0.24,0.67,0.37
850,-9.78,0.18,0.46,-0.43,0.37,-0.37
860,-9.62,0.26,0.35,-0.92,-0.31,0.24
870,-9.77,0.33,0.34,-0.49,1.10,1.10
880,-9.84,0.27,0.28,1.28,1.16,-0.12
890,-9.74,0.24,0.39,0.61,1.34,0.43
900,-9.74,0.18,0.38,0.43,0.79,0.49
910,-9.74,0.34,0.39,-0.12,0.00,0.00
920,-9.80,0.21,0.41,0.37,0.85,0.18
930,-9.81,0.31,0.35,-0.43,1.34,0.31
940,-9.85,0.27,0.26,-0.24,0.67,-0.55
950,-9.80,0.24,0.33,-0.12,0.61,-0.37
960,-9.71,0.28,0.40,-0.18,-0.18,0.55
970,-9.79,0.27,0.35,0.12,0.43,0.31
980,-9.80,0.21,0.35,-0.73,0.18,-0.43
990,-9.81,0.26,0.46,0.49,1.04,-0.31
1000,-9.78,0.19,0.37,0.49,0.55,-0.92
1010,-9.76,0.20,0.38,-0.37,0.61,0.31
