timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
1,-9.81,0.32,0.33,0.55,1.53,0.00
10,-9.80,0.25,0.26,-0.49,0.98,0.55
20,-9.78,0.19,0.32,0.98,1.34,0.31
30,-9.78,0.23,0.32,0.12,0.79,0.67
40,-9.74,0.08,0.29,-0.49,0.79,0.12
50,-9.73,0.23,0.38,-0.18,0.00,-0.18
60,-9.75,0.23,0.35,0.18,0.79,0.24
70,-9.74,0.26,0.28,-0.24,-0.12,0.24
80,-9.78,0.28,0.37,-0.06,1.10,0.73
90,-9.79,0.35,0.31,0.55,0.98,0.31
100,-9.80,0.35,0.44,0.06,0.55,0.79
110,-9.81,0.28,0.52,0.24,1.04,-0.31
120,-9.79,0.28,0.51,0.00,0.31,-0.67
130,-9.73,0.20,0.46,0.06,0.37,-0.49
140,-9.79,0.15,0.35,1.22,1.46,0.31
150,-9.79,0.22,0.36,0.18,0.31,0.31
160,-9.83,0.19,0.38,0.12,0.67,0.12
170,-9.79,0.21,0.34,0.55,0.79,0.24
180,-9.78,0.31,0.23,-0.06,0.98,0.12
190,-9.73,0.36,0.30,1.65,1.53,0.67
200,-9.80,0.32,0.47,-0.79,0.12,0.31
210,-9.72,0.39,0.41,-0.37,0.79,-0.12
220,-9.73,0.15,0.28,-0.43,0.49,0.18
230,-9.81,0.18,0.30,-0.98,-0.06,0.31
240,-9.78,0.15,0.52,0.00,-0.06,0.55
250,-9.76,0.11,0.36,0.18,1.95,0.18
260,-9.81,0.35,0.11,0.98,2.01,0.37
270,-9.75,0.28,0.28,-0.12,-0.18,-0.85
280,-9.73,0.30,0.44,-0.06,0.24,-0.31
290,-9.84,0.21,0.43,-0.18,1.59,0.49
300,-9.74,0.34,0.43,0.37,1.16,-0.18
310,-9.83,0.22,0.40,-0.55,0.24,-0.12
320,-9.78,0.28,0.37,0.24,0.85,-0.06
330,-9.74,0.22,0.26,0.06,0.18,-0.24
340,-9.81,0.16,0.32,-0.61,-0.24,-0.43
350,-9.80,0.30,0.30,-0.49,0.12,0.79
360,-9.79,0.24,0.30,-0.49,0.55,0.18
370,-9.85,0.22,0.35,-0.37,0.73,-0.12
380,-9.81,0.20,0.44,-0.18,0.43,-0.73
390,-9.69,0.20,0.41,0.55,1.04,-0.43
400,-9.76,0.15,0.33,-0.43,-0.98,-0.49
410,-9.84,0.26,0.42,-0.49,-0.06,0.00
420,-9.84,0.32,0.38,-0.12,0.49,0.18
430,-9.78,0.17,0.37,0.49,1.16,-0.43
440,-9.81,0.24,0.30,0.73,1.46,-0.12
450,-9.73,0.38,0.25,0.12,0.43,-0.18
460,-9.70,0.31,0.45,-0.49,0.43,0.18
470,-9.75,0.45,0.42,0.43,0.79,0.31
480,-9.83,0.52,0.53,-0.12,0.37,0.00
490,-9.94,0.35,0.20,-0.61,2.62,-0.55
500,-9.68,-0.21,0.05,0.49,2.14,-0.55
510,-9.87,-0.21,0.57,0.61,-2.93,0.24
520,-9.61,-0.19,0.93,-0.12,-1.40,-0.67
530,-9.88,0.20,0.27,0.00,5.19,0.37
