timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
1,-0.09,9.89,0.48,0.12,0.73,-0.06
10,0.01,9.84,0.48,0.73,0.85,-0.31
20,-0.04,9.86,0.45,1.22,0.92,0.85
30,-0.00,9.81,0.51,-1.04,0.18,-0.12
40,-0.02,9.82,0.52,0.85,1.83,-0.67
50,-0.01,9.89,0.58,-0.49,0.18,0.43
60,0.00,9.80,0.53,1.16,1.71,-0.73
70,0.03,9.77,0.56,-0.06,0.55,-0.43
80,0.04,9.84,0.51,0.49,0.67,0.24
90,-0.01,9.75,0.52,-0.73,0.43,-0.43
100,-0.04,9.93,0.48,0.06,-0.06,0.12
110,-0.05,9.80,0.48,-0.31,0.79,0.12
120,-0.03,9.91,0.53,0.55,0.18,-0.31
130,-0.08,9.80,0.48,-0.06,0.61,0.49
140,-0.01,9.90,0.47,0.06,0.61,0.49
150,-0.03,9.85,0.51,-0.24,0.18,0.06
160,0.02,9.91,0.42,0.12,-0.18,1.10
170,0.02,9.89,0.49,0.00,0.61,-0.55
180,0.01,9.86,0.52,0.37,1.46,0.24
190,0.02,9.87,0.49,0.55,1.59,-0.06
200,0.05,9.88,0.60,0.55,1.59,0.24
210,-0.00,9.81,0.59,-0.24,0.85,0.67
220,-0.06,9.87,0.56,0.98,0.49,0.12
230,-0.07,9.84,0.41,-0.37,0.37,0.67
240,-0.01,9.87,0.42,-0.43,0.37,-0.06
250,-0.03,9.83,0.49,-0.79,0.12,-0.12
260,-0.03,9.83,0.46,0.37,0.31,-0.24
270,-0.02,9.87,0.50,1.04,2.01,-0.18
280,0.03,9.87,0.47,-0.06,0.24,-0.92
290,-0.04,9.85,0.46,-0.12,1.04,-0.49
300,0.01,9.88,0.44,0.12,0.79,0.18
310,0.06,9.94,0.51,0.67,0.79,-0.12
320,0.00,9.86,0.51,0.67,0.55,-0.24
330,-0.09,9.76,0.43,-0.06,0.00,0.37
340,-0.02,9.90,0.45,0.55,0.98,0.00
350,-0.09,9.91,0.47,0.55,1.22,0.49
360,0.01,9.88,0.51,-0.12,0.12,-0.61
370,-0.09,9.84,0.57,-0.37,0.61,-0.43
380,-0.04,9.89,0.48,1.16,1.16,0.43
390,-0.05,9.87,0.54,-0.24,1.59,0.24
400,-0.04,9.84,0.39,0.49,0.43,0.73
410,0.01,9.88,0.50,-0.18,0.55,-0.85
420,-0.01,9.80,0.49,-0.67,0.92,-0.31
430,0.11,9.92,0.46,-1.04,-0.06,0.24
440,-0.01,9.97,0.51,-0.67,-0.98,0.37
450,0.04,9.92,0.48,-0.18,0.92,0.12
460,0.06,9.91,0.48,0.67,0.98,0.06
470,-0.02,9.83,0.45,0.12,1.28,-0.24
480,-0.01,9.86,0.47,-0.24,0.00,0.00
490,-0.01,9.89,0.52,1.04,0.67,-1.16
500,-0.01,9.92,0.49,-0.06,0.55,0.61
510,0.08,9.89,0.55,0.06,1.16,-0.73
520,-0.03,9.90,0.55,0.61,1.46,0.43
530,-0.07,9.94,0.54,-0.18,0.18,-0.24
540,-0.05,9.86,0.49,-0.06,0.43,-0.49
550,0.01,9.83,0.51,0.31,0.24,-0.31
560,-0.06,9.74,0.48,0.79,1.95,-0.49
570,-0.08,9.92,0.53,-0.06,0.06,-0.73
580,0.03,9.89,0.45,-0.06,0.67,0.31
590,-0.09,9.86,0.52,0.12,0.37,-0.92
600,0.00,9.88,0.55,0.67,0.67,0.00
610,-0.05,9.86,0.46,0.49,0.43,0.24
620,-0.02,9.93,0.50,-0.31,0.37,0.24
630,-0.01,9.99,0.50,-0.37,-0.37,1.04
640,-0.16,9.77,0.46,-0.37,0.67,0.61
650,-0.03,9.91,0.44,0.24,-0.49,0.85
660,-0.03,9.88,0.54,-0.49,0.73,0.55
670,0.04,9.87,0.51,0.12,0.92,-0.67
680,-0.03,9.87,0.54,0.67,1.10,0.12
690,-0.07,9.82,0.46,-0.73,0.49,-0.67
700,-0.05,9.89,0.52,0.43,0.00,-0.67
710,0.03,9.81,0.53,-0.12,0.31,-1.10
720,0.07,9.94,0.49,-1.22,-0.67,-0.06
730,-0.01,9.87,0.53,-0.18,0.98,-0.24
740,-0.18,9.88,0.53,-0.49,1.04,-0.24
750,-0.02,9.82,0.47,-0.12,0.79,0.55
760,-0.02,9.91,0.48,0.37,0.73,0.06
770,-0.01,9.88,0.38,1.34,0.73,-0.24
780,-0.04,9.85,0.58,-0.85,-0.06,0.43
790,-0.06,9.94,0.48,-0.37,0.24,0.00
800,0.08,9.80,0.46,-0.12,0.24,-0.18
810,0.02,9.96,0.53,0.92,1.40,-0.37
820,-0.10,9.79,0.55,0.00,0.98,0.43
830,0.05,9.83,0.51,0.06,-0.06,-0.06
840,0.07,9.92,0.37,0.12,0.79,0.18
850,-0.03,9.86,0.48,0.18,0.85,-0.12
860,-0.07,9.87,0.49,0.18,0.18,0.49
870,-0.03,9.84,0.47,0.24,0.67,-0.37
880,-0.04,9.92,0.51,1.10,0.49,-0.18
890,-0.04,9.90,0.55,0.55,0.31,0.12
900,0.06,9.95,0.59,0.00,0.55,-0.43
910,-0.02,9.88,0.50,-0.12,0.61,-0.24
920,-0.05,9.89,0.51,0.49,1.16,-0.37
930,0.01,9.86,0.48,0.06,-0.73,0.12
940,-0.01,9.94,0.49,0.00,1.22,0.18
950,0.01,9.91,0.40,0.67,1.22,0.24
960,-0.05,9.77,0.53,0.85,1.95,-1.34
970,-0.06,9.89,0.53,0.49,1.95,0.43
980,0.01,9.87,0.61,0.00,0.31,0.00
990,-0.10,9.91,0.54,-0.37,1.04,0.24
1000,0.12,9.82,0.51,-0.06,0.24,0.24
1010,-0.08,9.87,0.42,0.24,0.55,0.06
1020,-0.04,9.88,0.46,1.04,1.46,0.24
1030,0.01,9.89,0.43,1.16,1.89,-0.49
1040,-0.07,9.89,0.53,0.00,0.43,-0.31
1050,0.00,9.90,0.56,-0.06,0.67,0.12
1060,-0.09,9.83,0.51,0.06,0.43,-0.06
1070,0.11,9.81,0.48,0.61,1.16,-0.06
1080,0.05,9.85,0.53,0.43,0.67,-0.55
1090,-0.03,9.77,0.46,-0.92,-0.24,0.18
1100,-0.02,9.82,0.45,0.18,0.31,0.67
1110,0.02,9.87,0.43,0.31,0.79,-0.43
1120,-0.03,9.87,0.43,-1.04,-0.24,-0.06
1130,0.03,9.80,0.46,-0.55,-0.24,0.67
1140,0.02,9.92,0.52,0.43,1.34,-0.37
1150,-0.01,9.85,0.52,0.61,1.34,-0.24
1160,-0.09,9.79,0.54,0.37,0.92,0.24
1170,-0.03,9.89,0.54,0.43,1.28,0.24
1180,-0.04,9.89,0.54,-0.06,0.31,-1.40
1190,0.05,10.01,0.48,0.37,1.28,-0.61
1200,-0.09,9.83,0.44,0.37,0.55,0.73
1210,-0.02,9.91,0.45,-0.06,0.67,0.06
1220,-0.05,9.84,0.50,0.55,0.98,-0.31
1230,-0.08,9.87,0.53,-0.31,-0.12,-0.31
1240,0.02,9.88,0.56,-0.24,0.37,-0.67
1250,-0.04,9.88,0.54,-0.49,-0.49,0.49
1260,-0.02,9.89,0.55,-0.18,0.61,-0.37
1270,-0.08,9.88,0.51,0.06,1.10,-0.37
1280,-0.01,9.86,0.41,-0.18,0.00,0.24
1290,0.05,9.92,0.37,0.55,0.43,-1.04
1300,-0.08,9.87,0.46,0.06,1.16,-0.12
1310,0.02,9.85,0.50,-0.24,0.79,-0.18
1320,-0.02,9.78,0.51,-0.31,0.49,-0.12
1330,-0.05,9.81,0.52,-0.18,0.92,-0.12
1340,-0.03,9.87,0.42,0.92,1.16,-0.31
1350,-0.07,9.87,0.56,-0.06,-0.37,0.06
1360,0.03,9.76,0.47,0.00,0.67,0.12
1370,0.08,9.87,0.45,0.18,0.85,0.24
1380,0.09,9.92,0.44,-0.49,-0.37,0.06
1390,0.01,9.94,0.44,0.31,0.55,0.31
1400,-0.06,9.87,0.52,0.06,0.92,-1.34
1410,-0.03,9.78,0.45,0.31,0.73,0.31
1420,-0.03,9.84,0.58,-0.31,-0.18,0.43
1430,0.02,9.88,0.50,-0.67,-0.06,0.00
1440,-0.04,9.85,0.46,0.12,0.73,-0.06
1450,-0.05,9.84,0.53,0.37,0.00,-0.73
1460,0.01,9.84,0.40,-0.61,-0.79,0.73
1470,-0.05,9.90,0.42,-0.12,0.18,-0.79
1480,-0.01,9.81,0.52,0.12,0.31,0.12
1490,0.04,9.89,0.47,-0.55,-0.06,0.31
