timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
1,-0.06,9.94,0.44,0.98,1.34,0.06
10,-0.11,9.79,0.58,0.00,-0.06,-0.31
20,0.00,9.88,0.43,-0.18,0.37,0.37
30,0.01,9.81,0.54,-0.61,-0.24,0.31
40,-0.02,9.83,0.48,0.37,1.16,-0.24
50,-0.03,9.65,0.55,0.92,1.22,-0.24
60,-0.02,9.90,0.51,0.43,0.79,1.53
70,-0.08,9.92,0.55,0.43,1.71,0.55
80,0.00,9.90,0.48,0.31,0.67,-0.18
90,0.03,9.89,0.50,0.24,0.79,-0.37
100,-0.05,9.80,0.48,0.61,1.53,-0.73
110,-0.12,9.86,0.58,-0.73,0.67,-0.43
120,-0.04,9.86,0.51,-0.43,0.79,0.06
130,-0.15,9.87,0.58,-0.12,0.85,0.43
140,0.06,9.86,0.50,0.37,0.37,-0.18
150,-0.06,9.85,0.52,0.37,0.73,0.31
160,-0.04,9.88,0.50,0.43,0.98,0.49
170,0.04,9.80,0.48,-0.85,0.24,-0.43
180,0.03,9.85,0.42,0.00,0.24,0.55
190,0.02,9.94,0.46,0.43,0.37,-0.31
200,-0.08,9.82,0.54,0.06,1.10,-0.18
210,-0.03,9.93,0.47,0.43,1.04,-0.37
220,-0.04,9.82,0.48,-0.18,0.06,0.24
230,0.07,9.86,0.50,-0.12,0.06,-0.37
240,-0.06,9.80,0.52,0.85,0.55,0.18
250,0.04,9.88,0.45,-0.37,1.28,0.31
260,-0.00,9.83,0.46,-0.67,0.12,0.06
270,0.02,9.79,0.44,-0.37,0.61,-0.43
280,0.03,9.90,0.55,0.79,1.71,0.55
290,-0.08,9.75,0.53,1.34,1.46,0.06
300,-0.01,9.89,0.54,-0.12,0.18,-0.18
310,-0.01,9.94,0.52,1.10,2.08,0.12
320,-0.00,9.81,0.52,-0.06,1.53,0.73
330,0.00,9.86,0.49,0.73,1.10,1.10
340,-0.00,9.77,0.54,0.12,1.04,0.18
350,-0.06,9.86,0.51,-0.31,-0.18,-0.18
360,-0.02,9.74,0.48,-0.85,0.31,-0.37
370,-0.11,9.88,0.44,-0.12,0.98,-0.06
380,-0.02,9.76,0.44,-0.43,0.79,-0.61
390,0.02,9.96,0.48,0.43,-0.12,0.67
400,-0.06,9.86,0.52,0.06,0.18,0.12
410,-0.01,9.89,0.54,-0.43,0.12,0.00
420,-0.06,9.90,0.46,0.61,1.53,0.24
430,-0.04,9.92,0.63,0.06,0.43,-0.73
440,-0.00,9.91,0.56,0.31,0.73,0.00
450,-0.06,9.79,0.51,1.10,1.22,0.61
