timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
1,-9.77,0.26,0.38,-0.85,0.61,0.43
10,-9.75,0.24,0.49,0.61,1.16,0.43
20,-9.79,0.18,0.45,0.12,0.49,0.31
30,-9.71,0.23,0.40,0.24,1.04,-0.18
40,-9.77,0.22,0.33,-0.06,0.73,0.49
50,-9.81,0.32,0.37,0.00,0.24,-0.06
60,-9.82,0.15,0.39,0.61,0.92,-0.37
70,-9.74,0.23,0.31,0.98,1.65,0.55
80,-9.83,0.30,0.35,0.31,1.53,-0.37
90,-9.67,0.31,0.34,0.73,1.22,0.00
100,-9.81,0.23,0.45,0.06,0.92,-0.98
110,-9.76,0.22,0.48,-0.31,0.67,-0.06
120,-9.81,0.28,0.41,0.67,0.61,-0.06
130,-9.74,0.18,0.38,-0.24,0.67,0.00
140,-9.76,0.27,0.39,0.00,0.67,-0.31
150,-9.77,0.18,0.41,-0.92,-0.06,-0.06
160,-9.79,0.11,0.42,0.12,0.73,0.43
170,-9.76,0.30,0.30,0.73,1.04,-0.12
180,-9.80,0.25,0.37,0.49,0.61,0.18
190,-9.68,0.27,0.47,0.55,0.24,-0.12
200,-9.80,0.32,0.45,0.43,0.79,0.12
210,-9.82,0.28,0.41,-0.37,0.37,0.43
220,-9.80,0.28,0.33,-0.24,1.28,0.49
230,-9.88,0.18,0.48,0.18,0.49,-0.43
240,-9.73,0.24,0.42,-0.31,0.12,0.18
250,-9.77,0.25,0.36,1.77,0.85,-0.79
260,-9.81,0.17,0.32,-0.73,0.43,-0.61
270,-9.78,0.18,0.40,-0.55,-0.18,0.67
280,-9.86,0.18,0.33,0.37,1.10,-0.24
290,-9.75,0.24,0.24,0.61,1.65,0.37
300,-9.78,0.23,0.39,0.43,0.61,-0.12
310,-9.78,0.18,0.46,-0.18,0.43,-0.67
320,-9.78,0.21,0.31,-0.67,2.14,-0.43
330,-9.83,0.30,0.31,0.85,0.98,-0.31
340,-9.82,0.17,0.37,0.61,0.92,0.18
350,-9.67,0.21,0.46,-0.98,-0.61,-0.06
360,-9.77,0.24,0.31,1.22,1.83,-0.18
370,-9.81,0.21,0.36,0.79,1.83,-0.06
380,-9.68,0.23,0.35,1.04,1.16,-1.10
390,-9.73,0.20,0.35,0.18,0.37,0.37
400,-9.74,0.27,0.36,0.24,0.98,0.43
410,-9.76,0.21,0.41,0.06,0.43,-0.43
420,-9.74,0.27,0.47,0.55,1.40,-0.43
430,-9.76,0.25,0.43,0.43,0.92,0.37
440,-9.78,0.22,0.37,0.92,1.46,-0.06
450,-9.82,0.21,0.30,0.61,0.92,-0.49
460,-9.85,0.28,0.31,-0.06,-0.24,0.12
470,-9.83,0.22,0.35,-0.31,0.31,0.73
480,-9.86,0.16,0.21,0.24,0.37,-0.55
490,-9.75,0.22,0.40,-0.37,0.00,-0.31
500,-9.71,0.26,0.39,-0.49,-0.67,-0.06
510,-9.71,0.23,0.41,-0.24,0.43,-0.73
520,-9.79,0.23,0.27,-0.24,-0.31,-0.31
530,-9.76,0.24,0.37,-0.18,-0.06,0.00
540,-9.76,0.29,0.39,0.06,0.73,-0.92
550,-9.74,0.35,0.32,0.00,0.98,-0.37
560,-9.81,0.25,0.39,0.06,-0.24,0.00
570,-9.77,0.32,0.35,-0.43,-0.18,-0.43
580,-9.78,0.22,0.37,0.79,0.18,-0.31
590,-9.85,0.15,0.38,0.00,1.28,0.43
600,-9.90,0.27,0.42,1.34,2.08,-0.06
610,-9.79,0.12,0.41,0.67,1.22,-0.31
620,-9.85,0.29,0.38,0.00,0.85,0.31
630,-9.81,0.17,0.45,0.49,0.43,0.67
640,-9.74,0.26,0.43,-0.24,-0.18,0.31
650,-9.82,0.28,0.33,0.00,1.04,-0.61
660,-9.78,0.30,0.32,0.92,0.92,0.37
670,-9.81,0.27,0.44,-0.12,0.49,0.55
680,-9.77,0.22,0.36,-0.31,0.12,0.61
690,-9.81,0.17,0.40,-0.12,0.61,0.00
700,-9.74,0.16,0.45,0.06,1.28,-0.18
710,-9.77,0.29,0.36,-0.37,-0.24,0.37
720,-9.79,0.23,0.39,0.79,1.22,1.22
730,-9.84,0.31,0.48,0.49,1.34,0.55
740,-9.85,0.22,0.28,1.10,1.04,0.55
750,-9.80,0.22,0.39,-0.61,1.28,-0.06
760,-9.73,0.27,0.31,0.06,0.55,-0.55
770,-9.75,0.25,0.41,0.37,0.31,0.06
780,-9.78,0.17,0.43,0.61,2.26,0.31
790,-9.81,0.19,0.37,0.18,1.53,0.31
800,-9.74,0.22,0.39,-0.24,0.00,0.24
810,-9.74,0.14,0.47,0.31,1.10,0.55
820,-9.78,0.31,0.38,0.55,1.16,0.00
830,-9.83,0.24,0.31,-0.31,0.55,-0.55
840,-9.76,0.27,0.31,0.49,0.98,-0.06
850,-9.81,0.27,0.34,0.00,0.24,-0.37
860,-9.74,0.32,0.39,0.55,1.16,-0.98
870,-9.81,0.27,0.40,0.43,0.37,-0.55
880,-9.75,0.20,0.47,-0.18,-0.12,-0.12
890,-9.77,0.28,0.42,0.61,1.89,0.31
900,-9.82,0.22,0.42,0.31,1.04,-0.06
910,-9.75,0.23,0.34,0.79,1.77,-0.12
920,-9.71,0.22,0.31,-0.18,0.67,-0.06
930,-9.80,0.25,0.38,0.31,1.16,-0.12
940,-9.84,0.20,0.40,-0.92,0.12,0.24
950,-9.74,0.19,0.35,0.49,1.46,0.12
960,-9.78,0.33,0.38,-0.49,0.49,-0.18
970,-9.82,0.17,0.47,-0.37,-0.12,-0.37
980,-9.78,0.19,0.38,-0.37,0.55,-0.79
990,-9.79,0.22,0.40,0.67,0.73,0.61
1000,-9.76,0.33,0.36,0.92,1.46,-0.55
1010,-9.81,0.29,0.37,-0.18,-0.06,0.06
1020,-9.72,0.30,0.37,0.67,0.49,0.31
1030,-9.79,0.22,0.40,0.24,0.37,0.98
1040,-9.77,0.23,0.39,-0.43,0.00,-0.06
1050,-9.78,0.19,0.37,1.65,2.26,-0.43
1060,-9.79,0.23,0.32,-0.18,0.98,-0.43
1070,-9.78,0.22,0.39,-0.67,0.49,-0.12
1080,-9.79,0.18,0.28,0.67,1.16,0.73
1090,-9.74,0.23,0.37,1.16,1.22,0.55
1100,-9.76,0.23,0.33,-1.16,-0.61,-0.24
1110,-9.80,0.26,0.42,0.79,0.43,-0.79
1120,-9.83,0.27,0.45,0.37,0.12,-0.06
1130,-9.76,0.22,0.45,0.55,0.31,0.00
1140,-9.73,0.29,0.42,-0.55,0.55,0.49
1150,-9.82,0.28,0.38,0.24,1.34,0.24
1160,-9.76,0.14,0.34,0.55,0.18,0.00
1170,-9.77,0.26,0.42,0.67,1.22,0.00
1180,-9.86,0.33,0.34,-0.92,0.55,-0.12
1190,-9.78,0.18,0.33,0.18,0.73,-0.43
1200,-9.74,0.26,0.38,0.61,1.16,-0.79
1210,-9.72,0.30,0.41,0.49,0.18,0.06
1220,-9.79,0.21,0.39,0.12,0.37,-0.12
1230,-9.79,0.27,0.37,0.67,1.22,0.61
1240,-9.81,0.26,0.40,0.06,0.61,0.06
1250,-9.84,0.23,0.41,0.24,1.22,-0.12
1260,-9.80,0.22,0.37,0.06,0.55,0.18
1270,-9.78,0.24,0.34,0.37,1.16,-0.37
1280,-9.73,0.22,0.35,0.79,1.10,1.10
1290,-9.74,0.35,0.38,0.18,1.46,0.49
1300,-9.78,0.16,0.46,0.79,1.53,-0.37
1310,-9.79,0.22,0.42,0.61,1.10,-0.12
1320,-9.80,0.24,0.33,-0.31,1.22,-0.24
1330,-9.79,0.31,0.43,-0.12,1.22,-0.24
1340,-9.72,0.22,0.23,-0.12,0.73,0.00
1350,-9.81,0.20,0.34,-0.55,0.79,-0.79
1360,-9.77,0.26,0.37,-0.49,-0.43,0.00
1370,-9.87,0.24,0.36,0.12,0.31,-0.24
1380,-9.76,0.26,0.40,0.12,0.61,-0.92
1390,-9.78,0.15,0.35,0.49,1.04,-0.06
1400,-9.74,0.21,0.42,-0.18,0.43,0.43
1410,-9.72,0.26,0.29,-0.43,1.65,0.61
1420,-9.75,0.29,0.30,-0.37,0.43,-0.06
1430,-9.83,0.15,0.37,0.98,1.59,0.00
1440,-9.79,0.29,0.35,0.37,1.16,-0.24
1450,-9.72,0.21,0.38,0.92,0.49,-0.06
1460,-9.78,0.18,0.44,0.31,0.31,0.18
1470,-9.78,0.28,0.44,0.31,0.92,-0.31
1480,-9.84,0.23,0.45,0.00,1.28,0.18
1490,-9.76,0.27,0.45,0.73,1.10,-0.31
