timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
1,-0.09,9.84,0.51,1.04,0.43,0.55
10,-0.08,9.85,0.50,-0.24,0.85,0.31
20,-0.11,9.84,0.53,0.55,0.18,-1.16
30,-0.14,9.90,0.43,0.31,0.18,0.73
40,-0.04,9.86,0.53,0.79,0.92,0.12
50,-0.10,9.88,0.53,-0.24,1.16,0.31
60,-0.09,9.84,0.57,-0.24,0.85,-0.49
70,-0.03,9.92,0.48,0.12,-0.55,1.28
80,0.03,9.89,0.49,-0.12,1.71,0.12
90,-0.11,9.81,0.52,0.43,-0.06,-0.37
100,-0.01,9.88,0.47,1.28,1.16,0.67
110,-0.06,9.89,0.49,1.16,1.65,0.06
120,-0.04,9.91,0.46,-0.61,0.43,0.49
130,-0.10,9.84,0.47,-0.61,0.85,0.43
140,-0.14,9.76,0.40,-0.31,0.55,0.73
150,-0.05,9.87,0.41,0.06,0.55,0.98
160,0.01,9.94,0.71,0.06,0.85,0.98
170,-0.03,9.82,0.54,0.98,1.10,-0.49
180,-0.10,9.83,0.43,1.28,1.34,-0.06
190,-0.02,9.90,0.42,-0.31,1.10,-0.24
200,-0.08,9.86,0.61,-1.10,-0.61,0.85
210,-0.05,9.85,0.58,0.18,1.59,0.06
220,-0.10,9.95,0.57,-0.24,0.31,-1.16
230,-0.03,9.86,0.48,0.12,0.92,0.55
240,-0.05,9.89,0.48,0.92,0.85,0.61
250,-0.00,9.85,0.45,0.12,0.61,-0.24
260,-0.14,9.85,0.59,0.12,-0.18,0.37
270,-0.06,9.71,0.58,-0.06,0.24,-0.06
280,-0.11,9.78,0.59,0.31,1.04,0.00
290,-0.09,9.86,0.53,0.49,0.79,-0.37
300,-0.16,9.95,0.39,-0.49,0.73,-0.06
310,-0.07,9.92,0.44,-1.16,0.12,0.31
320,-0.16,9.83,0.54,0.79,1.10,0.43
330,-0.10,9.93,0.51,0.37,-0.12,-0.73
340,0.01,9.85,0.48,-0.73,-0.61,-0.31
350,-0.11,9.84,0.50,0.98,1.83,0.43
360,-0.06,9.83,0.66,0.31,1.28,0.55
370,-0.03,9.91,0.56,-1.04,-0.06,-0.12
380,-0.08,9.77,0.67,0.43,0.92,0.37
390,0.06,9.89,0.56,0.37,0.43,-0.37
400,-0.10,9.90,0.48,0.00,1.65,-0.12
410,-0.08,9.85,0.47,-0.37,0.43,-0.37
420,0.06,9.81,0.47,0.37,0.85,0.00
430,-0.10,9.84,0.57,0.18,1.40,-0.24
440,-0.16,9.92,0.51,1.34,0.85,0.31
450,-0.16,9.84,0.53,0.31,1.28,-0.31
460,-0.10,9.94,0.48,-0.73,-0.06,0.79
470,-0.12,9.78,0.54,0.37,-0.31,0.49
480,-0.04,9.83,0.52,1.34,0.85,-0.55
490,-0.04,9.86,0.54,-0.06,1.53,0.31
500,-0.10,9.87,0.54,-0.24,0.37,0.18
510,-0.09,9.85,0.50,0.55,1.16,0.73
520,0.01,9.79,0.45,0.49,1.04,0.31
530,-0.10,9.84,0.51,0.24,0.43,0.55
540,-0.10,9.85,0.56,-0.24,0.85,-0.06
550,-0.05,9.88,0.53,-0.37,0.79,0.06
560,0.02,9.81,0.59,0.79,1.04,-0.43
570,-0.03,9.78,0.42,0.49,1.40,0.43
580,-0.07,9.94,0.45,-0.31,1.10,0.49
590,-0.05,9.91,0.51,0.06,0.00,0.12
600,-0.13,9.85,0.54,0.06,0.79,0.85
610,-0.09,9.90,0.51,0.18,-0.06,0.73
620,-0.11,9.81,0.61,-0.24,0.06,0.18
630,-0.12,9.85,0.50,0.79,0.49,0.61
640,-0.10,9.88,0.43,0.55,0.61,0.12
650,-0.05,9.88,0.57,-0.12,1.22,0.43
660,-0.04,9.83,0.55,0.79,1.83,0.06
670,-0.10,9.82,0.56,-0.43,0.24,-0.49
680,-0.06,9.99,0.49,0.18,-0.06,0.18
690,-0.15,9.86,0.50,1.10,1.04,0.12
700,-0.14,9.86,0.50,0.61,1.22,-0.61
710,-0.09,9.83,0.52,-0.43,0.24,0.61
720,-0.01,9.87,0.48,1.53,1.65,0.79
730,-0.03,9.89,0.51,-0.43,-0.24,-0.49
740,-0.10,9.84,0.54,-0.92,-0.92,0.24
750,-0.03,9.91,0.56,0.18,0.92,-0.61
760,-0.04,9.92,0.45,-0.55,0.18,-0.24
770,0.01,9.91,0.57,0.67,0.85,0.43
780,-0.10,9.83,0.53,0.24,0.43,0.85
790,0.00,9.86,0.46,0.55,1.28,-0.79
800,-0.09,9.83,0.50,-0.67,0.24,-0.37
810,-0.08,9.87,0.51,0.06,0.12,0.31
820,-0.08,9.86,0.54,0.00,0.18,-0.18
830,-0.13,9.84,0.59,0.37,1.40,-0.73
840,-0.11,9.83,0.52,-0.43,0.12,0.12
850,-0.06,9.81,0.52,1.16,1.71,0.24
