timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
1,-9.78,0.24,0.40,0.31,0.55,0.12
10,-9.81,0.13,0.34,0.37,1.59,0.31
20,-9.78,0.21,0.43,0.73,1.34,-0.06
30,-9.81,0.20,0.42,0.79,0.73,0.43
40,-9.80,0.21,0.44,0.00,1.22,-0.18
50,-9.82,0.25,0.31,-0.24,0.12,0.24
60,-9.72,0.28,0.43,0.12,0.37,0.24
70,-9.77,0.32,0.32,-0.31,0.49,0.55
80,-9.79,0.30,0.28,0.24,1.22,0.61
90,-9.78,0.17,0.37,0.06,-0.12,0.49
100,-9.79,0.18,0.39,0.18,0.79,0.00
110,-9.79,0.22,0.38,0.12,1.04,0.00
120,-9.64,0.29,0.28,-0.43,-0.18,-0.12
130,-9.71,0.25,0.30,-0.98,0.18,-0.18
140,-9.71,0.14,0.25,0.06,0.12,0.67
150,-9.81,0.21,0.36,-0.31,0.37,0.73
160,-9.76,0.22,0.32,0.37,0.06,-0.67
170,-9.75,0.24,0.38,-0.49,0.31,0.92
180,-9.71,0.25,0.28,0.61,0.55,-0.43
190,-9.77,0.27,0.42,0.61,0.98,-0.24
200,-9.75,0.25,0.33,1.16,1.16,0.06
210,-9.75,0.27,0.33,0.31,1.10,0.12
220,-9.82,0.28,0.33,0.00,0.92,0.06
230,-9.74,0.18,0.36,0.73,0.92,0.06
240,-9.76,0.26,0.35,0.31,1.16,0.85
250,-9.80,0.29,0.37,0.49,0.79,-0.61
260,-9.79,0.27,0.37,0.37,0.98,0.73
270,-9.72,0.17,0.35,0.73,0.43,-0.18
280,-9.73,0.28,0.36,0.49,0.37,0.06
290,-9.71,0.30,0.26,0.31,0.67,0.61
300,-9.76,0.19,0.36,0.79,1.71,0.61
310,-9.76,0.28,0.33,-0.61,0.37,0.43
320,-9.84,0.20,0.38,0.18,0.98,0.24
330,-9.89,0.22,0.34,0.85,0.92,0.00
340,-9.76,0.23,0.42,0.43,1.28,0.00
350,-9.73,0.25,0.36,-0.06,1.53,0.92
360,-9.81,0.21,0.42,1.22,0.67,-0.12
370,-9.80,0.22,0.37,0.67,0.67,0.18
380,-9.77,0.11,0.33,0.12,0.85,-0.67
390,-9.84,0.25,0.35,0.31,0.55,0.92
400,-9.72,0.27,0.33,0.55,0.24,0.18
410,-9.81,0.14,0.36,-0.55,0.18,0.67
420,-9.77,0.29,0.33,0.12,1.22,1.16
430,-9.81,0.26,0.39,0.49,0.61,0.98
440,-9.79,0.23,0.35,0.67,0.98,0.12
450,-9.80,0.27,0.35,0.31,1.89,0.73
460,-9.77,0.27,0.37,0.31,0.55,-0.24
470,-9.87,0.21,0.40,0.43,1.04,0.12
480,-9.76,0.31,0.36,-0.55,-0.18,-0.43
490,-9.82,0.21,0.33,-0.43,0.98,0.12
500,-9.84,0.26,0.35,-0.37,0.43,-0.31
510,-9.77,0.24,0.41,0.06,0.61,-0.24
520,-9.84,0.24,0.42,1.40,2.08,-0.06
530,-9.73,0.21,0.34,1.10,1.83,0.06
540,-9.79,0.26,0.26,0.18,1.10,-0.61
550,-9.81,0.21,0.32,1.46,0.67,-0.24
560,-9.83,0.24,0.38,0.61,0.85,0.61
570,-9.80,0.23,0.35,0.43,0.92,0.31
580,-9.74,0.30,0.33,0.00,0.79,0.00
590,-9.81,0.26,0.46,0.24,0.98,-0.18
600,-9.80,0.28,0.40,-0.43,0.85,-0.73
610,-9.78,0.31,0.41,-0.43,1.28,-0.85
620,-9.74,0.21,0.34,0.73,0.67,-0.12
630,-9.74,0.22,0.37,0.43,1.28,-0.24
640,-9.71,0.25,0.30,0.31,0.67,-0.12
650,-9.72,0.22,0.28,0.37,0.43,0.98
660,-9.70,0.19,0.37,-0.18,0.55,0.31
670,-9.84,0.35,0.34,0.73,0.85,-0.31
680,-9.70,0.17,0.38,-0.18,0.79,-0.12
690,-9.80,0.28,0.37,-0.31,-0.06,0.61
700,-9.78,0.27,0.46,1.34,1.46,-0.12
710,-9.76,0.33,0.31,0.92,1.89,0.67
720,-9.74,0.29,0.41,-0.06,0.00,0.37
730,-9.81,0.25,0.36,0.00,0.12,-0.12
740,-9.79,0.21,0.32,0.92,1.46,0.12
750,-9.73,0.25,0.23,-0.24,0.06,0.37
760,-9.76,0.21,0.27,0.55,0.18,-0.49
770,-9.78,0.23,0.27,0.73,1.10,-0.67
780,-9.77,0.16,0.31,1.40,1.83,-0.18
790,-9.75,0.18,0.29,0.31,0.85,0.37
800,-9.81,0.15,0.37,0.00,0.24,0.00
810,-9.76,0.36,0.24,0.79,0.43,0.18
820,-9.74,0.26,0.31,0.12,0.37,0.00
830,-9.78,0.31,0.38,0.31,1.34,-0.18
840,-9.72,0.32,0.40,0.06,-0.43,0.00
850,-9.79,0.28,0.41,0.31,0.79,0.24
860,-9.86,0.28,0.33,0.06,0.31,0.43
870,-9.79,0.35,0.34,0.31,0.61,0.55
880,-9.69,0.28,0.41,-0.73,1.28,0.61
890,-9.79,0.27,0.32,0.92,1.28,0.00
900,-9.78,0.17,0.32,0.00,0.18,0.73
910,-9.82,0.20,0.35,0.79,0.92,-0.61
920,-9.76,0.18,0.43,0.18,0.55,0.31
930,-9.75,0.12,0.43,-0.24,0.43,0.37
940,-9.81,0.24,0.37,0.18,1.59,0.06
950,-9.77,0.28,0.34,0.55,1.46,0.31
960,-9.80,0.22,0.44,0.00,0.92,0.55
970,-9.77,0.28,0.49,0.61,0.98,-0.61
980,-9.76,0.25,0.43,0.00,1.46,0.12
990,-9.69,0.31,0.35,0.37,0.85,0.12
1000,-9.76,0.14,0.39,1.10,1.16,-0.06
1010,-9.70,0.25,0.34,0.55,0.92,-0.06
1020,-9.81,0.25,0.29,0.79,1.71,0.31
1030,-9.74,0.25,0.40,0.73,1.95,0.00
1040,-9.83,0.25,0.38,1.22,1.22,0.55
1050,-9.72,0.20,0.33,0.24,0.43,0.43
1060,-9.77,0.29,0.38,0.12,0.18,0.49
1070,-9.79,0.22,0.46,0.37,0.92,0.31
1080,-9.77,0.33,0.40,0.61,1.16,0.18
1090,-9.76,0.28,0.40,0.00,0.12,0.18
1100,-9.82,0.25,0.42,0.49,1.16,0.18
1110,-9.80,0.23,0.25,0.06,1.22,-1.04
1120,-9.82,0.26,0.36,-0.18,0.37,-0.06
1130,-9.80,0.19,0.42,0.37,-0.06,0.06
1140,-9.74,0.25,0.45,0.18,1.59,0.37
1150,-9.81,0.26,0.26,0.31,0.98,0.37
1160,-9.75,0.25,0.34,0.37,0.92,0.55
1170,-9.74,0.22,0.42,-0.12,0.85,-0.61
1180,-9.76,0.33,0.34,0.85,1.71,0.67
1190,-9.81,0.28,0.36,0.55,0.73,0.49
1200,-9.83,0.22,0.41,1.04,1.40,0.06
1210,-9.81,0.19,0.45,0.24,0.31,0.06
1220,-9.76,0.27,0.29,-0.31,0.37,-0.12
1230,-9.79,0.17,0.38,0.12,0.31,0.37
1240,-9.79,0.30,0.41,0.06,0.37,0.49
1250,-9.73,0.38,0.29,1.40,1.71,0.37
1260,-9.78,0.23,0.30,0.43,1.22,0.00
1270,-9.75,0.31,0.37,-0.55,0.98,0.00
1280,-9.72,0.27,0.31,-0.06,0.55,-1.04
1290,-9.78,0.22,0.32,-0.67,-0.24,-0.18
1300,-9.80,0.21,0.32,0.18,0.61,-0.18
1310,-9.82,0.16,0.28,0.55,0.92,0.12
1320,-9.76,0.22,0.39,-0.43,-0.37,0.49
1330,-9.70,0.23,0.47,0.92,1.34,0.12
1340,-9.73,0.29,0.49,0.37,1.65,-0.37
1350,-9.81,0.22,0.33,0.18,0.73,0.31
1360,-9.84,0.17,0.36,0.18,0.67,-0.79
1370,-9.82,0.22,0.41,0.67,1.83,0.98
1380,-9.78,0.29,0.24,0.06,1.04,0.24
1390,-9.75,0.24,0.35,-0.06,0.73,-0.18
1400,-9.79,0.25,0.34,0.31,0.92,-0.06
1410,-9.76,0.30,0.32,0.67,0.55,0.24
1420,-9.77,0.25,0.28,-0.73,0.06,0.06
1430,-9.77,0.22,0.36,0.43,-0.18,0.00
1440,-9.72,0.26,0.42,-0.98,0.00,0.06
1450,-9.84,0.24,0.39,0.55,0.98,-0.92
1460,-9.79,0.25,0.33,-0.49,0.43,0.00
1470,-9.81,0.30,0.33,0.12,0.31,-0.24
1480,-9.67,0.27,0.41,0.43,1.16,0.49
1490,-9.84,0.25,0.45,1.04,0.92,0.73
