timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
1,-9.72,0.21,0.38,0.43,1.10,-0.55
10,-9.77,0.27,0.35,0.55,0.55,-0.49
20,-9.66,0.31,0.34,0.61,0.67,-0.37
30,-9.79,0.24,0.33,0.61,1.77,0.43
40,-9.84,0.17,0.42,0.06,-0.18,-1.46
50,-9.79,0.18,0.41,0.61,1.04,0.12
60,-9.77,0.23,0.36,0.18,1.53,-0.79
70,-9.78,0.26,0.37,0.18,1.59,-0.49
80,-9.84,0.22,0.40,-0.06,0.18,0.18
90,-9.83,0.25,0.36,-0.06,0.24,0.24
100,-9.79,0.21,0.37,0.24,0.98,0.00
110,-9.84,0.23,0.46,0.18,0.79,-0.06
120,-9.72,0.21,0.37,0.67,1.28,0.37
130,-9.72,0.19,0.43,-0.12,0.49,0.24
140,-9.85,0.20,0.38,0.18,0.61,-0.18
150,-9.85,0.28,0.37,0.31,1.77,-0.12
160,-9.78,0.28,0.32,0.49,-0.06,0.55
170,-9.82,0.20,0.29,0.37,0.24,0.00
180,-9.79,0.20,0.28,0.12,0.98,0.18
190,-9.74,0.18,0.32,-0.06,0.67,0.43
200,-9.75,0.19,0.40,0.49,0.49,0.31
210,-9.83,0.17,0.31,-0.55,0.06,0.43
220,-9.71,0.22,0.40,0.31,2.26,0.67
230,-9.77,0.29,0.43,0.43,0.79,-0.12
240,-9.78,0.20,0.39,-0.92,0.18,-0.24
250,-9.83,0.31,0.32,0.24,1.22,0.43
260,-9.84,0.24,0.30,0.67,0.24,-0.73
270,-9.78,0.28,0.29,0.00,0.24,0.00
280,-9.74,0.20,0.35,0.18,0.31,-0.12
290,-9.78,0.19,0.38,-0.06,0.43,-0.12
300,-9.75,0.29,0.37,0.43,0.24,0.12
310,-9.75,0.18,0.46,0.12,1.22,0.49
320,-9.70,0.27,0.38,0.55,0.85,-0.12
330,-9.72,0.26,0.34,-0.12,0.37,-0.49
340,-9.78,0.31,0.30,0.67,0.67,0.24
350,-9.80,0.33,0.35,0.43,0.31,-0.18
360,-9.76,0.26,0.32,0.49,1.46,0.24
370,-9.74,0.23,0.39,0.31,0.37,-0.06
380,-9.80,0.16,0.41,0.61,0.18,0.43
390,-9.80,0.13,0.52,-0.67,-0.55,0.12
400,-9.74,0.20,0.45,0.18,1.10,0.67
410,-9.74,0.18,0.40,0.00,0.98,-0.12
420,-9.90,0.25,0.32,-0.49,-0.12,-0.61
430,-9.78,0.34,0.24,0.12,0.98,-0.18
440,-9.76,0.29,0.32,-0.49,0.12,0.37
450,-9.78,0.22,0.34,0.18,0.31,0.24
460,-9.81,0.27,0.38,-0.49,0.55,-0.31
470,-9.73,0.20,0.36,-0.37,0.43,-0.24
