timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
1,-9.71,0.20,0.39,-0.43,0.43,0.49
10,-9.82,0.16,0.31,-0.49,1.04,0.12
20,-9.70,0.11,0.34,0.49,1.16,0.24
30,-9.77,0.19,0.34,-0.49,0.31,0.79
40,-9.80,0.17,0.37,0.79,0.31,-0.18
50,-9.78,0.21,0.36,0.55,1.16,0.67
60,-9.75,0.27,0.47,0.24,0.55,0.00
70,-9.76,0.24,0.43,0.24,0.85,0.18
80,-9.80,0.23,0.38,1.04,1.89,1.22
90,-9.81,0.27,0.47,0.18,0.98,0.85
100,-9.76,0.32,0.36,0.61,0.92,-0.37
110,-9.79,0.26,0.30,-0.06,0.55,0.79
120,-9.75,0.32,0.24,-0.31,0.37,-0.79
130,-9.74,0.23,0.42,1.53,0.98,0.37
140,-9.70,0.28,0.35,0.18,1.34,0.98
150,-9.73,0.24,0.28,0.24,0.31,-0.79
160,-9.75,0.24,0.34,0.06,0.49,-0.67
170,-9.75,0.22,0.37,0.31,0.37,-1.16
180,-9.71,0.23,0.35,0.06,0.79,-0.49
190,-9.80,0.22,0.31,0.37,1.04,0.06
200,-9.79,0.27,0.37,0.18,-0.37,-0.24
210,-9.78,0.17,0.39,0.06,1.34,-0.18
220,-9.83,0.23,0.35,0.61,0.18,0.37
230,-9.76,0.25,0.39,0.24,1.04,-0.37
240,-9.82,0.14,0.38,0.18,0.12,-0.43
250,-9.78,0.27,0.39,0.00,0.24,0.31
260,-9.75,0.31,0.40,-0.37,-0.37,0.43
270,-9.80,0.24,0.42,0.31,0.55,0.49
280,-9.76,0.26,0.38,0.85,1.95,-0.49
290,-9.74,0.22,0.32,0.24,0.79,-0.67
300,-9.79,0.22,0.37,0.67,1.40,0.06
310,-9.76,0.22,0.44,-0.67,0.49,-0.31
320,-9.74,0.22,0.22,-0.31,0.06,-0.06
330,-9.75,0.28,0.28,-0.61,-0.18,-0.37
340,-9.79,0.24,0.38,0.18,-0.06,0.18
350,-9.74,0.26,0.41,0.43,0.73,-0.37
360,-9.71,0.26,0.27,1.16,0.85,-0.31
370,-9.76,0.22,0.35,0.12,1.04,-0.31
380,-9.80,0.30,0.30,0.31,-0.06,-0.43
390,-9.86,0.32,0.32,0.31,0.00,0.31
400,-9.75,0.25,0.32,-0.92,0.79,-0.37
410,-9.75,0.28,0.34,0.12,-0.31,-0.73
420,-9.82,0.23,0.34,0.18,0.00,0.18
430,-9.81,0.23,0.32,0.06,0.37,-0.49
440,-9.78,0.25,0.38,0.98,1.28,0.24
450,-9.77,0.24,0.36,0.12,1.04,-0.06
460,-9.81,0.22,0.42,1.16,1.95,-0.12
470,-9.86,0.27,0.42,-0.79,-0.37,0.06
480,-9.74,0.19,0.32,0.98,0.92,0.79
490,-9.79,0.29,0.34,0.06,1.22,0.79
500,-9.74,0.16,0.40,0.49,1.16,0.67
510,-9.79,0.24,0.33,-0.12,1.22,0.06
520,-9.80,0.25,0.39,0.79,0.37,-0.67
530,-9.78,0.23,0.31,-0.73,0.00,0.92
540,-9.80,0.30,0.35,0.49,1.04,0.00
550,-9.76,0.32,0.33,-0.18,0.00,0.31
560,-9.75,0.20,0.34,0.61,1.22,-0.06
570,-9.74,0.16,0.38,0.98,1.34,0.31
580,-9.76,0.25,0.36,0.24,0.92,-0.73
590,-9.83,0.19,0.42,0.79,0.24,-0.79
600,-9.70,0.23,0.40,0.31,0.61,-0.24
610,-9.84,0.22,0.41,0.49,0.31,0.67
620,-9.77,0.24,0.38,0.12,0.67,0.49
630,-9.71,0.40,0.27,-0.43,-0.06,0.49
640,-9.85,0.31,0.30,0.92,1.83,-0.55
650,-9.78,0.20,0.39,-0.31,-0.24,0.00
660,-9.78,0.27,0.35,0.06,1.04,-0.37
670,-9.86,0.24,0.38,0.43,1.10,0.61
680,-9.70,0.30,0.31,-0.24,0.61,0.18
690,-9.80,0.21,0.38,0.61,0.43,-0.06
700,-9.77,0.29,0.34,0.37,1.65,-0.12
710,-9.77,0.19,0.41,0.43,1.95,-0.24
720,-9.75,0.37,0.36,-0.55,-0.12,0.24
730,-9.93,0.17,0.40,1.10,1.59,0.49
740,-9.75,0.28,0.39,-0.18,0.98,0.00
750,-9.81,0.22,0.32,0.61,0.73,-1.04
760,-9.80,0.22,0.32,0.31,2.26,0.55
770,-9.82,0.20,0.35,-0.12,0.67,0.00
780,-9.78,0.19,0.40,0.00,0.31,0.24
790,-9.74,0.30,0.35,0.00,0.43,0.00
800,-9.75,0.20,0.40,0.85,0.73,-0.12
810,-9.78,0.26,0.33,0.24,0.61,0.49
820,-9.73,0.20,0.35,-0.67,-0.24,0.31
830,-9.81,0.21,0.33,-0.67,-0.18,-0.12
840,-9.81,0.29,0.33,0.12,0.12,-0.12
850,-9.77,0.19,0.31,-0.37,-0.12,-0.79
860,-9.72,0.28,0.29,0.24,-0.06,-0.24
870,-9.74,0.32,0.32,-0.18,-0.06,-0.43
880,-9.82,0.26,0.36,-0.61,0.73,-0.37
890,-9.78,0.20,0.35,0.18,0.49,0.31
900,-9.67,0.31,0.27,0.24,0.73,0.24
910,-9.79,0.14,0.49,-0.12,0.43,-0.31
920,-9.89,0.19,0.42,1.10,0.18,-0.55
930,-9.72,0.18,0.40,-0.24,-0.31,-0.12
940,-9.82,0.31,0.25,-0.12,1.10,0.18
950,-9.69,0.10,0.42,0.12,0.85,0.24
960,-9.72,0.11,0.42,-0.24,0.12,-1.34
970,-9.74,0.37,0.41,0.43,1.16,-1.22
980,-9.78,0.23,0.34,-0.43,0.00,-0.79
990,-9.73,0.27,0.38,0.67,2.20,0.00
1000,-9.91,0.15,0.45,0.37,1.59,-0.31
1010,-9.75,0.21,0.29,-0.18,0.55,0.06
1020,-9.78,0.20,0.39,-0.18,-0.55,-0.79
1030,-9.78,0.14,0.47,-0.49,0.12,0.37
1040,-9.77,0.20,0.33,0.24,0.92,-0.31
1050,-9.82,0.24,0.40,-0.92,-0.12,-0.31
1060,-9.78,0.30,0.29,0.55,0.98,-0.43
1070,-9.73,0.27,0.35,-0.12,0.43,0.43
1080,-9.91,0.20,0.18,0.18,0.98,-0.37
1090,-9.78,0.23,0.31,-0.92,0.73,0.24
1100,-9.87,0.36,0.36,0.31,0.37,0.37
1110,-9.64,0.23,0.42,0.37,1.34,0.06
1120,-9.80,0.27,0.39,-0.49,0.61,-0.49
1130,-9.78,0.18,0.30,-0.18,-0.24,-0.37
1140,-9.68,0.19,0.41,0.00,0.73,-0.92
1150,-9.71,0.29,0.42,-0.31,0.49,0.43
1160,-9.87,0.11,0.33,0.43,0.18,-0.24
1170,-9.71,0.11,0.39,0.61,0.85,-0.37
1180,-9.85,0.29,0.35,-0.18,1.16,-0.18
1190,-9.69,0.16,0.34,-0.18,0.31,-0.24
1200,-9.86,0.34,0.32,0.12,0.85,0.49
1210,-9.79,0.22,0.35,0.49,0.18,0.18
1220,-9.81,0.24,0.37,-1.10,0.37,-0.12
1230,-9.78,0.27,0.40,0.18,0.31,0.49
1240,-9.74,0.21,0.28,0.37,1.10,-0.43
