timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
1,-0.11,9.84,0.53,0.55,-0.18,0.06
10,-0.05,9.83,0.44,-0.06,1.10,0.49
20,-0.10,9.83,0.52,0.55,0.61,-0.06
30,-0.08,9.83,0.48,0.55,1.22,-0.24
40,-0.10,9.83,0.54,0.18,0.73,-0.37
50,-0.07,9.89,0.47,0.12,0.37,0.49
60,-0.05,9.86,0.53,0.73,0.85,0.73
70,-0.01,9.83,0.56,-0.79,0.06,-0.43
80,-0.04,9.83,0.45,-0.18,0.73,0.31
90,0.06,9.89,0.47,-0.12,0.73,0.12
100,-0.11,9.83,0.56,-0.98,0.06,0.61
110,-0.03,9.89,0.47,0.43,0.67,-0.49
120,-0.02,9.85,0.46,0.12,0.73,-0.06
130,-0.04,9.85,0.55,0.06,0.18,0.49
140,-0.02,9.84,0.44,0.92,1.53,0.92
150,-0.09,9.85,0.57,-0.18,1.04,-0.31
160,-0.10,9.85,0.52,-0.31,-0.12,-0.18
170,-0.11,9.91,0.56,-0.49,0.12,0.18
180,-0.11,9.86,0.50,0.61,1.77,0.73
190,-0.04,9.83,0.44,0.12,1.65,-0.92
200,-0.07,9.89,0.50,0.55,0.61,0.12
210,-0.07,9.95,0.53,-0.12,0.55,-0.43
220,-0.09,9.84,0.51,-0.18,0.85,0.49
230,-0.07,9.84,0.54,0.37,0.98,-0.92
240,-0.03,9.88,0.57,0.92,1.16,-0.85
250,-0.07,9.87,0.59,0.43,1.16,-0.37
260,-0.12,9.86,0.57,-0.18,0.31,-0.43
270,-0.06,9.85,0.51,0.00,1.71,0.00
280,-0.11,9.78,0.47,0.24,0.31,-0.24
290,-0.13,9.86,0.52,-0.24,1.59,0.06
300,-0.03,9.84,0.47,-0.55,0.61,0.24
310,-0.03,9.79,0.50,-0.61,-0.12,0.49
320,-0.05,9.84,0.60,-0.18,0.98,0.24
330,-0.05,9.88,0.52,0.06,1.65,0.37
340,-0.08,9.87,0.54,0.61,1.95,0.12
350,-0.05,9.93,0.49,0.00,1.28,0.43
360,-0.07,9.81,0.51,0.92,1.34,0.24
370,-0.08,9.92,0.49,1.10,1.95,-0.06
380,-0.06,9.90,0.38,-1.10,-0.92,0.12
390,-0.04,9.87,0.50,-0.24,1.10,0.85
400,-0.05,9.81,0.52,0.31,0.49,0.61
410,-0.08,9.86,0.62,0.31,0.67,-0.43
420,-0.07,9.86,0.48,0.55,0.06,-0.31
430,-0.07,9.84,0.50,0.85,-0.31,0.06
440,-0.06,9.76,0.55,0.79,1.28,0.67
450,0.00,9.85,0.53,0.98,1.04,0.00
460,0.00,9.88,0.49,0.37,-0.31,0.67
470,-0.04,9.84,0.45,-0.37,0.49,-0.43
480,-0.10,9.86,0.55,-0.55,-0.18,0.31
490,-0.05,9.90,0.52,0.18,0.18,0.24
500,-0.03,9.83,0.60,0.73,1.53,0.06
510,0.01,9.83,0.54,0.49,0.98,-0.06
520,-0.11,9.83,0.51,0.98,1.65,0.31
530,0.04,9.89,0.53,-0.37,0.06,-0.06
540,-0.02,9.89,0.42,0.55,0.98,-0.49
550,-0.06,9.96,0.50,1.53,1.04,0.18
560,-0.04,9.85,0.46,1.16,1.16,1.16
570,-0.13,9.84,0.55,0.12,0.55,1.28
580,-0.05,9.79,0.61,0.98,0.92,0.49
590,-0.08,9.85,0.52,0.55,1.16,0.31
600,-0.17,9.89,0.58,0.12,0.92,-1.04
610,-0.06,9.93,0.57,-0.18,-0.12,-0.18
620,-0.09,9.88,0.52,0.24,0.73,-0.12
630,-0.11,9.81,0.51,0.24,0.55,0.55
640,-0.07,9.85,0.58,0.24,0.12,0.92
650,-0.07,9.91,0.50,0.79,1.04,-0.43
660,-0.08,9.83,0.50,0.49,1.16,0.18
670,-0.14,9.91,0.60,0.31,0.92,0.12
680,-0.05,9.81,0.56,0.73,1.83,-0.18
690,-0.09,9.89,0.52,0.12,0.73,0.00
700,-0.03,9.83,0.49,0.55,0.67,0.49
710,-0.02,9.95,0.45,0.73,0.49,0.31
720,-0.04,9.85,0.48,0.18,1.59,0.24
730,-0.05,9.84,0.54,0.55,0.37,0.31
740,-0.09,9.90,0.49,-1.04,-0.24,0.37
750,-0.04,9.85,0.50,0.18,0.79,0.67
760,-0.08,9.87,0.47,1.71,1.10,0.55
770,-0.08,9.85,0.55,-0.92,0.06,0.37
780,-0.04,9.86,0.54,-0.06,0.55,0.37
790,-0.13,9.85,0.53,0.24,0.55,-0.12
