timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
1,-9.80,0.24,0.36,1.04,2.08,0.98
10,-9.76,0.21,0.34,0.55,1.46,-0.06
20,-9.81,0.22,0.24,0.37,0.79,0.85
30,-9.79,0.31,0.43,1.16,1.65,0.61
40,-9.85,0.25,0.33,0.37,0.31,-0.98
50,-9.78,0.26,0.38,0.06,0.18,0.00
60,-9.74,0.26,0.45,-0.43,-0.85,0.06
70,-9.80,0.26,0.34,0.06,0.24,0.55
80,-9.76,0.22,0.25,0.61,1.10,0.06
90,-9.73,0.25,0.35,0.18,-0.06,-0.12
100,-9.74,0.20,0.34,0.49,0.06,-0.55
110,-9.82,0.32,0.32,0.18,0.12,-0.18
120,-9.77,0.24,0.42,0.67,0.43,0.37
130,-9.75,0.25,0.33,-0.79,1.16,0.00
140,-9.79,0.27,0.39,-0.24,0.31,1.28
150,-9.77,0.17,0.45,0.49,0.98,0.31
160,-9.68,0.21,0.40,-0.12,1.22,0.37
170,-9.78,0.23,0.45,0.67,1.65,-0.31
180,-9.73,0.28,0.32,-0.24,0.67,0.24
190,-9.71,0.18,0.43,0.79,1.22,-0.61
200,-9.71,0.33,0.35,-0.67,0.79,-0.18
210,-9.89,0.28,0.37,0.85,0.18,-0.73
220,-9.79,0.25,0.35,-0.12,-0.73,-0.55
230,-9.72,0.33,0.41,-0.79,0.31,0.18
240,-9.77,0.30,0.28,-0.43,1.77,0.00
250,-9.74,0.17,0.30,0.37,0.06,-0.31
260,-9.80,0.16,0.33,0.06,-0.43,0.12
270,-9.77,0.21,0.39,0.73,1.40,0.06
280,-9.79,0.19,0.33,0.12,0.31,-0.31
290,-9.83,0.29,0.31,-0.79,0.37,0.67
300,-9.84,0.15,0.35,-0.61,0.79,0.12
310,-9.72,0.34,0.37,-0.18,-0.12,0.37
320,-9.80,0.22,0.46,-0.55,0.67,-0.31
330,-9.72,0.15,0.47,-0.79,0.92,0.24
340,-9.82,0.24,0.45,0.18,0.61,-0.31
350,-9.80,0.25,0.40,-0.18,0.31,-0.49
360,-9.81,0.22,0.31,0.85,1.53,0.24
370,-9.79,0.18,0.39,0.49,0.18,-0.73
380,-9.75,0.24,0.48,0.18,0.73,0.43
390,-9.69,0.30,0.36,0.67,1.40,0.79
