timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
1,-0.13,9.86,0.55,0.06,0.55,-0.98
10,0.08,9.84,0.43,0.24,0.00,-0.18
20,0.04,9.84,0.43,0.00,0.67,0.67
30,-0.04,9.87,0.52,0.73,0.00,0.31
40,0.02,9.93,0.40,0.06,1.10,-0.43
50,-0.05,9.89,0.46,0.43,0.98,-0.06
60,0.07,9.86,0.42,-0.06,0.61,0.00
70,-0.09,9.83,0.54,0.24,1.46,-0.18
80,-0.03,9.82,0.64,1.16,1.53,0.00
90,0.01,9.86,0.48,-0.37,0.73,0.73
100,-0.03,9.92,0.59,-0.24,0.31,-0.61
110,-0.05,9.84,0.52,0.06,0.92,-0.55
120,-0.10,9.75,0.52,0.79,1.28,-0.06
130,-0.01,9.83,0.52,0.43,0.98,-0.98
140,-0.10,9.80,0.54,0.31,0.49,0.73
150,-0.04,9.90,0.49,-0.06,0.61,0.37
160,-0.04,9.82,0.52,1.16,0.73,-0.18
170,0.02,9.82,0.52,1.16,0.61,-0.61
180,-0.07,9.92,0.45,0.24,1.65,0.49
190,-0.04,9.77,0.46,-0.06,-0.12,-1.16
200,0.03,9.87,0.51,0.61,0.79,-1.04
210,-0.01,9.85,0.40,0.18,0.18,0.43
220,-0.01,9.72,0.49,0.00,0.55,-0.61
230,-0.00,9.87,0.47,-0.79,-0.12,-0.61
240,-0.10,9.89,0.54,-1.59,-0.06,0.12
250,-0.12,9.93,0.55,0.24,0.55,-0.24
260,0.00,9.81,0.46,0.85,0.79,-0.12
270,-0.06,9.91,0.52,-0.43,1.28,-0.43
280,-0.09,9.89,0.49,0.61,2.26,-0.31
290,-0.02,9.88,0.51,-0.37,1.40,-0.06
300,0.08,9.89,0.48,-0.49,0.92,-0.55
310,-0.07,9.75,0.49,0.49,1.95,0.61
320,0.04,9.83,0.50,-0.06,0.92,0.24
330,0.04,9.84,0.53,-0.37,-0.37,-0.37
340,-0.01,9.81,0.51,0.79,0.55,-0.85
350,-0.02,9.87,0.43,0.61,1.28,-0.31
360,-0.09,9.88,0.54,1.65,1.40,0.55
370,-0.05,9.94,0.46,0.79,1.65,-0.61
380,-0.03,9.85,0.52,0.06,1.34,0.12
390,0.07,9.84,0.57,0.12,0.24,0.43
400,-0.08,9.93,0.49,0.98,1.04,-0.06
410,-0.03,9.79,0.55,0.49,0.00,0.37
420,-0.10,9.89,0.50,0.49,0.31,-1.04
430,-0.03,9.84,0.50,0.61,1.22,0.18
440,-0.01,9.85,0.49,0.55,1.40,-0.24
450,0.01,9.89,0.48,0.12,1.34,-0.49
460,0.01,9.90,0.51,0.73,1.04,-0.18
470,-0.05,9.90,0.54,0.55,0.55,0.18
480,-0.05,9.84,0.58,0.00,-0.18,0.24
490,-0.05,9.79,0.49,0.06,0.12,1.04
500,-0.03,9.83,0.52,0.37,0.06,-0.24
510,-0.05,9.81,0.44,0.67,0.85,-0.24
520,-0.13,9.95,0.54,-0.18,0.31,-0.67
530,-0.09,10.01,0.44,-0.06,-0.06,-0.73
540,-0.05,9.84,0.51,-0.49,0.43,-0.37
550,-0.05,9.91,0.49,0.79,0.67,0.24
560,-0.11,9.80,0.53,0.06,1.22,-0.12
570,0.04,9.92,0.51,0.61,1.04,0.67
580,-0.00,9.76,0.52,-0.06,1.22,0.79
590,0.05,9.87,0.56,1.46,1.10,0.79
600,-0.06,9.83,0.45,-0.85,-0.43,-0.67
610,-0.02,9.83,0.49,0.73,0.73,0.55
620,-0.03,9.89,0.50,-0.37,0.12,-0.18
630,0.03,9.93,0.55,0.37,1.40,-0.12
640,-0.03,9.82,0.51,-0.61,0.37,-0.43
650,-0.01,9.86,0.45,0.18,1.16,-0.18
660,-0.03,9.84,0.41,-0.43,0.06,0.43
670,0.02,9.99,0.50,0.31,0.18,-0.24
680,-0.01,10.00,0.49,0.00,0.24,0.18
690,0.05,9.85,0.49,-0.55,0.43,-0.67
700,-0.02,9.80,0.46,-0.31,0.92,-0.49
710,-0.01,9.94,0.49,0.73,1.28,-0.31
720,-0.04,9.84,0.62,0.06,0.37,-0.43
730,0.01,9.83,0.48,0.55,1.34,-0.31
740,-0.02,9.92,0.53,-0.31,0.67,0.06
750,-0.12,9.90,0.49,-0.61,0.67,-0.61
760,-0.06,9.80,0.48,0.06,0.67,0.55
770,0.01,9.88,0.51,2.20,2.01,0.55
780,-0.06,9.89,0.44,-0.24,0.31,-0.37
790,-0.01,9.86,0.54,0.00,0.00,-0.18
800,-0.03,9.91,0.51,0.61,0.43,-0.61
810,-0.06,9.89,0.52,0.06,0.92,0.61
820,0.04,9.93,0.47,-0.37,-0.31,-0.24
830,-0.03,9.78,0.54,-0.06,0.85,0.12
840,0.04,10.00,0.47,0.06,0.85,-0.24
850,-0.07,9.91,0.49,0.43,1.10,0.24
860,0.02,9.84,0.51,0.43,0.73,0.12
870,-0.03,9.82,0.57,-0.37,-0.06,-0.24
880,-0.00,9.90,0.50,0.73,0.37,-0.24
890,-0.05,9.83,0.47,0.06,1.22,0.37
900,0.03,9.87,0.56,0.49,0.79,0.37
910,-0.05,9.89,0.52,-0.49,-0.24,-0.67
920,-0.11,9.84,0.55,0.12,0.79,-0.06
930,0.06,9.89,0.49,-0.55,0.43,0.31
940,0.02,9.84,0.49,-0.67,0.85,-0.67
950,-0.01,9.90,0.44,-0.12,-0.18,0.18
960,-0.03,9.89,0.42,0.61,1.46,0.24
970,0.02,9.88,0.54,-0.67,0.92,-0.06
980,-0.05,9.89,0.47,0.73,0.98,-0.37
990,-0.01,9.89,0.52,1.28,1.28,0.98
1000,-0.06,9.81,0.56,0.18,1.71,0.37
1010,-0.03,9.91,0.52,0.31,0.43,0.49
1020,-0.03,9.83,0.50,-0.31,0.55,-0.31
1030,0.03,9.80,0.49,0.92,1.77,0.12
1040,-0.06,9.93,0.52,-0.37,0.61,0.00
1050,-0.04,9.86,0.43,0.85,0.85,0.43
1060,0.06,9.85,0.54,-0.12,0.98,1.53
1070,0.03,9.83,0.49,0.06,0.31,0.73
1080,-0.02,9.80,0.51,0.49,0.55,-0.55
1090,-0.10,9.88,0.51,0.31,0.43,0.73
1100,0.05,9.82,0.52,0.37,0.92,-0.37
1110,0.04,9.82,0.48,1.16,1.28,0.06
1120,0.00,9.89,0.46,0.55,1.34,0.43
1130,-0.01,9.84,0.49,0.24,0.79,0.18
