timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
1,-9.80,0.20,0.43,0.31,0.31,-0.31
10,-9.75,0.30,0.36,0.18,0.61,0.06
20,-9.78,0.19,0.37,-1.10,-0.06,-0.73
30,-9.70,0.19,0.38,0.00,0.79,-0.18
40,-9.78,0.31,0.37,0.00,0.37,0.55
50,-9.66,0.22,0.34,0.49,0.61,0.12
60,-9.79,0.22,0.38,0.06,1.34,-0.24
70,-9.80,0.22,0.29,-0.92,0.18,0.24
80,-9.75,0.23,0.30,-0.18,0.98,-0.61
90,-9.75,0.23,0.39,0.49,0.79,-0.43
100,-9.72,0.30,0.32,-0.73,0.31,0.24
110,-9.74,0.25,0.30,0.00,0.43,0.92
120,-9.78,0.20,0.38,0.18,0.12,0.00
130,-9.87,0.18,0.41,-1.22,0.37,0.85
140,-9.78,0.23,0.34,0.06,0.37,-0.12
150,-9.82,0.25,0.36,0.06,1.53,-1.04
160,-9.81,0.14,0.42,-0.24,-0.37,-0.61
170,-9.85,0.16,0.38,-0.49,0.43,-0.18
180,-9.78,0.25,0.39,-0.06,0.31,0.12
190,-9.74,0.28,0.38,0.43,1.04,0.18
200,-9.82,0.24,0.41,0.98,1.77,0.73
210,-9.89,0.26,0.42,-0.18,0.79,-0.67
220,-9.75,0.21,0.36,-0.73,-0.31,0.85
230,-9.80,0.24,0.34,-0.06,0.55,-0.43
240,-9.75,0.17,0.40,0.61,0.18,0.00
250,-9.87,0.20,0.47,0.61,0.92,0.00
260,-9.79,0.25,0.38,0.92,1.40,0.55
270,-9.73,0.23,0.38,0.49,1.04,0.92
280,-9.88,0.24,0.44,0.24,1.04,0.12
290,-9.78,0.22,0.35,0.67,1.71,0.12
300,-9.79,0.26,0.33,-0.06,-0.49,0.61
310,-9.79,0.23,0.35,0.24,0.55,-0.49
320,-9.70,0.36,0.37,-0.49,0.49,-0.43
330,-9.72,0.31,0.37,0.67,0.31,-0.06
340,-9.82,0.29,0.35,1.04,1.59,0.43
350,-9.79,0.17,0.35,0.61,0.79,0.00
360,-9.71,0.26,0.38,0.67,1.16,-0.67
370,-9.81,0.24,0.37,0.00,1.04,-0.43
380,-9.85,0.28,0.34,0.31,1.16,0.06
390,-9.91,0.20,0.45,0.79,0.85,-0.98
400,-9.91,0.21,0.42,0.73,1.16,-0.73
410,-9.84,0.17,0.39,-0.37,0.73,0.79
420,-9.81,0.25,0.38,-0.67,-0.24,0.55
430,-9.72,0.26,0.38,-0.37,-0.24,0.24
440,-9.72,0.30,0.40,0.49,1.22,-0.12
450,-9.81,0.27,0.36,-0.12,0.00,0.49
460,-9.84,0.23,0.34,-0.18,-0.24,-0.18
470,-9.78,0.17,0.42,0.67,0.85,0.12
480,-9.80,0.33,0.46,0.43,0.24,0.61
490,-9.75,0.25,0.32,0.06,0.85,0.61
500,-9.73,0.26,0.33,0.18,-0.24,-0.31
510,-9.76,0.19,0.30,-0.73,-0.31,-0.49
520,-9.78,0.20,0.37,0.85,0.85,-0.31
530,-9.81,0.24,0.40,0.24,1.95,0.37
540,-9.82,0.15,0.37,0.37,1.71,0.18
550,-9.73,0.22,0.36,0.18,1.16,-0.49
560,-9.75,0.25,0.37,-0.18,0.37,-0.37
570,-9.81,0.14,0.37,-0.55,0.49,-0.49
580,-9.77,0.22,0.40,0.43,1.34,0.43
590,-9.78,0.26,0.40,0.06,0.85,0.31
600,-9.81,0.25,0.35,0.67,1.77,0.18
610,-9.79,0.15,0.44,-0.31,0.67,0.12
620,-9.72,0.18,0.47,0.31,0.24,-0.24
630,-9.77,0.21,0.39,1.16,1.89,0.00
640,-9.77,0.37,0.35,0.73,1.22,0.49
650,-9.73,0.24,0.36,1.53,0.73,-0.67
660,-9.69,0.23,0.29,0.67,1.34,-0.92
670,-9.72,0.20,0.31,-0.37,1.65,-0.61
680,-9.75,0.21,0.44,-0.43,-0.37,-0.12
690,-9.76,0.22,0.39,0.06,0.92,-1.10
700,-9.78,0.24,0.45,-0.12,0.06,0.49
710,-9.69,0.21,0.37,0.12,0.73,1.16
720,-9.79,0.28,0.37,0.24,0.73,0.06
730,-9.81,0.33,0.41,0.12,0.18,0.55
740,-9.74,0.19,0.39,-0.98,0.37,-0.06
750,-9.79,0.23,0.37,0.06,0.85,0.55
760,-9.78,0.25,0.34,0.73,1.71,-0.24
770,-9.82,0.20,0.32,0.00,-0.43,0.00
780,-9.80,0.29,0.37,-0.06,0.55,0.43
790,-9.81,0.29,0.26,0.43,0.79,0.49
800,-9.82,0.32,0.33,1.10,1.22,0.12
810,-9.79,0.14,0.40,0.49,1.65,0.61
820,-9.83,0.24,0.42,0.00,1.04,0.49
830,-9.77,0.22,0.32,0.00,0.24,-0.55
840,-9.80,0.22,0.32,0.31,1.22,-0.06
850,-9.94,0.16,0.45,0.49,0.67,-0.43
860,-9.71,0.18,0.36,0.24,0.00,0.00
870,-9.81,0.17,0.42,0.79,0.92,-0.37
880,-9.83,0.37,0.32,-0.18,0.85,1.22
890,-9.73,0.14,0.44,0.98,0.06,0.37
900,-9.77,0.26,0.42,0.37,1.46,-0.43
910,-9.87,0.31,0.31,-0.12,0.24,0.92
920,-9.75,0.27,0.49,0.24,1.34,0.85
930,-9.74,0.21,0.39,-0.67,0.43,-0.43
940,-9.78,0.24,0.35,0.43,0.73,-0.24
950,-9.77,0.28,0.39,0.67,0.37,-0.79
960,-9.70,0.25,0.36,0.85,0.98,0.18
970,-9.76,0.23,0.35,-0.73,1.40,-0.18
980,-9.67,0.31,0.21,0.18,0.37,0.37
990,-9.86,0.27,0.34,-0.73,0.37,-0.61
1000,-9.82,0.22,0.34,-0.37,0.43,-0.55
1010,-9.81,0.28,0.35,-0.61,-0.24,0.06
1020,-9.83,0.22,0.29,-0.67,0.73,0.55
1030,-9.68,0.16,0.35,-0.98,-0.79,-0.18
1040,-9.77,0.14,0.42,0.18,1.16,0.43
1050,-9.76,0.25,0.40,-0.12,0.61,0.79
1060,-9.77,0.16,0.26,-0.49,-0.12,-0.12
1070,-9.76,0.28,0.32,-0.31,0.79,0.37
1080,-9.76,0.24,0.40,-0.31,0.31,0.00
1090,-9.75,0.26,0.37,0.61,1.65,-0.12
1100,-9.86,0.18,0.33,0.12,0.92,-0.12
1110,-9.67,0.19,0.46,-0.85,0.55,-0.06
1120,-9.69,0.16,0.33,0.43,0.61,0.49
1130,-9.65,0.15,0.42,0.18,0.43,-0.06
1140,-9.84,0.33,0.37,0.55,0.73,0.12
1150,-9.78,0.13,0.40,0.06,0.55,0.31
1160,-9.78,0.17,0.41,0.31,1.16,-0.31
1170,-9.85,0.15,0.38,-0.24,0.67,0.00
1180,-9.75,0.12,0.38,0.61,1.10,-0.55
1190,-9.77,0.42,0.31,-1.10,-0.43,0.06
1200,-9.79,0.33,0.39,0.49,0.92,0.37
1210,-9.80,0.16,0.33,0.18,0.73,-0.61
1220,-9.82,0.26,0.30,-0.92,1.10,0.49
1230,-9.81,0.18,0.43,0.55,0.85,-0.24
1240,-9.82,0.28,0.37,-0.49,0.37,-0.31
1250,-9.80,0.26,0.44,0.24,1.28,0.12
1260,-9.85,0.30,0.35,-0.24,0.00,0.24
1270,-9.79,0.21,0.35,0.43,1.28,-0.37
1280,-9.77,0.26,0.36,0.18,0.24,-0.12
1290,-9.75,0.16,0.44,-0.18,0.85,-0.18
1300,-9.71,0.33,0.46,0.92,1.77,-0.55
1310,-9.76,0.15,0.43,-0.67,0.92,-0.49
1320,-9.86,0.31,0.40,0.18,1.53,-0.24
1330,-9.80,0.19,0.30,0.31,1.04,0.55
1340,-9.75,0.17,0.37,0.06,0.55,-0.85
1350,-9.81,0.27,0.41,-0.79,0.18,0.85
1360,-9.78,0.23,0.38,0.24,1.16,0.24
1370,-9.73,0.21,0.35,0.00,0.67,-0.61
1380,-9.77,0.30,0.35,-0.12,-0.18,-0.61
1390,-9.78,0.23,0.37,0.06,0.79,0.31
1400,-9.66,0.18,0.48,-0.06,1.04,0.06
1410,-9.80,0.18,0.31,-0.43,0.61,0.79
1420,-9.69,0.28,0.37,-0.37,0.67,0.12
1430,-9.76,0.36,0.31,0.73,1.65,0.73
1440,-9.72,0.19,0.36,-0.92,-0.37,0.00
1450,-9.75,0.23,0.32,-0.61,-0.49,-0.18
1460,-9.77,0.22,0.42,0.49,1.04,0.06
1470,-9.86,0.24,0.39,0.00,0.55,0.49
1480,-9.76,0.31,0.38,0.49,1.89,0.37
1490,-9.78,0.29,0.37,0.06,0.24,-0.06
