timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
1,-0.02,9.85,0.45,-0.24,0.06,-0.43
10,-0.11,9.84,0.49,0.24,0.79,0.18
20,-0.02,9.83,0.38,0.37,1.89,-0.49
30,-0.14,9.90,0.43,0.12,0.98,0.31
40,0.01,9.85,0.48,0.43,0.31,-0.67
50,0.10,9.85,0.41,-0.24,0.31,0.12
60,-0.00,9.82,0.47,0.31,1.16,-0.12
70,0.01,9.94,0.46,0.55,1.28,0.06
80,0.03,9.83,0.55,-0.18,0.31,-0.55
90,0.10,9.85,0.54,0.61,0.67,0.12
100,0.00,9.97,0.48,0.55,1.28,-0.55
110,-0.05,9.85,0.51,0.43,0.73,-0.31
120,0.01,9.86,0.53,-0.61,0.43,-0.12
130,0.01,9.89,0.63,0.55,1.40,-0.18
140,-0.00,9.86,0.60,-1.04,0.18,-0.18
150,0.04,9.84,0.52,0.43,0.18,-0.24
160,-0.06,9.86,0.51,0.06,0.12,-0.49
170,-0.06,9.89,0.40,1.10,0.73,-0.06
180,-0.03,9.88,0.42,-0.18,-0.06,0.00
190,0.03,9.93,0.43,-0.12,1.16,-0.06
200,-0.05,9.93,0.49,0.37,0.31,-0.43
210,-0.11,9.93,0.50,0.18,0.61,-0.31
220,-0.01,9.78,0.52,1.28,0.61,0.18
230,-0.07,9.87,0.43,-0.06,0.98,-0.06
240,-0.08,9.83,0.37,-0.49,-0.43,0.00
250,0.06,9.93,0.41,-0.43,0.43,0.12
260,-0.02,9.90,0.48,-0.18,0.12,0.12
270,0.07,9.91,0.38,-0.24,-0.06,0.49
280,0.02,9.90,0.48,-0.18,0.61,-0.49
290,0.00,9.86,0.55,0.67,0.37,0.00
300,0.05,9.81,0.49,1.22,1.53,-0.12
310,-0.02,9.88,0.49,-0.61,1.40,0.37
320,-0.02,9.81,0.51,-0.06,1.46,-0.73
330,0.04,9.94,0.50,-0.79,-0.85,0.06
340,0.03,9.83,0.54,0.49,0.92,-0.31
350,-0.05,9.85,0.53,0.24,0.49,0.00
360,-0.04,9.85,0.46,0.43,1.40,-0.06
370,0.06,9.93,0.52,0.06,0.92,0.00
380,-0.01,9.80,0.58,0.00,0.06,-0.24
390,0.01,9.80,0.51,1.04,0.31,0.31
400,-0.05,9.91,0.48,-0.37,0.55,-0.37
410,-0.05,9.84,0.44,0.37,0.18,-1.04
420,-0.00,9.87,0.49,0.00,1.28,0.12
430,-0.11,9.79,0.53,-0.24,-0.55,0.67
440,-0.01,9.89,0.55,0.79,0.49,0.85
450,-0.00,9.89,0.42,0.49,0.43,0.92
460,-0.03,9.81,0.53,0.06,0.12,-0.24
470,-0.00,9.95,0.51,0.79,0.12,0.18
480,0.09,9.85,0.46,0.43,1.28,-0.24
490,0.01,9.88,0.42,0.24,0.31,0.24
500,0.02,9.87,0.41,0.37,0.55,0.31
510,-0.02,9.83,0.46,0.24,0.55,0.31
520,-0.06,9.85,0.53,0.49,1.28,-0.06
530,-0.01,9.89,0.50,-0.24,0.49,0.18
540,-0.10,9.87,0.53,0.55,1.59,-0.24
550,-0.07,9.98,0.48,0.31,1.71,-0.06
560,-0.14,9.83,0.46,0.37,0.98,-0.06
570,-0.09,9.86,0.48,0.61,1.28,-0.12
580,0.10,9.85,0.46,0.06,0.49,-0.37
590,-0.05,9.81,0.42,-0.24,-0.37,-0.73
600,0.05,9.87,0.51,1.53,1.59,-0.18
610,-0.04,9.89,0.54,-0.85,-0.61,0.85
620,0.04,9.91,0.50,0.12,0.31,0.06
630,0.02,9.84,0.51,0.79,1.28,0.24
640,0.02,9.84,0.58,-0.06,0.61,0.31
650,0.01,9.79,0.50,-0.06,0.61,0.31
660,-0.06,9.76,0.42,0.18,0.55,-0.18
670,0.01,9.88,0.43,0.61,0.55,0.24
680,-0.13,9.82,0.55,0.18,1.34,-0.43
690,-0.07,9.94,0.49,0.79,1.46,0.06
700,-0.07,9.89,0.55,0.12,0.67,-0.37
710,-0.06,9.84,0.53,0.73,1.34,0.12
720,-0.06,9.88,0.45,1.16,1.28,0.85
730,-0.05,9.82,0.54,0.61,0.73,0.00
740,-0.04,9.92,0.47,0.18,0.92,-0.06
750,0.02,9.80,0.47,0.73,1.83,0.37
760,-0.04,9.85,0.55,-0.06,0.73,-0.06
770,0.00,9.86,0.51,0.67,1.04,0.61
780,0.00,9.81,0.50,0.92,1.10,-0.06
790,-0.09,9.90,0.48,0.67,1.28,0.61
800,-0.03,9.89,0.53,0.00,1.34,0.06
810,-0.01,9.90,0.47,0.06,1.04,0.49
820,0.01,9.81,0.56,0.67,1.40,0.12
830,-0.04,9.84,0.45,0.43,1.28,-0.37
840,0.04,9.82,0.53,1.04,0.73,-0.18
850,-0.03,9.78,0.48,0.31,0.43,0.79
860,-0.04,9.89,0.48,-0.12,0.73,-0.79
870,-0.02,9.81,0.56,-0.31,0.49,0.37
880,-0.04,9.95,0.44,-0.06,0.92,-0.12
890,-0.06,9.73,0.49,0.06,-0.06,-0.06
900,0.03,9.88,0.45,0.37,1.65,0.06
910,-0.09,9.86,0.55,0.37,0.18,0.55
920,-0.09,9.82,0.41,0.24,1.59,-0.37
930,0.01,9.85,0.50,0.06,1.28,-0.31
940,-0.10,9.87,0.42,1.10,0.61,-0.49
