timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
1,-9.79,0.30,0.42,0.85,1.65,0.85
10,-9.69,0.20,0.31,0.31,0.55,0.43
20,-9.75,0.28,0.37,-0.61,0.31,-0.43
30,-9.74,0.33,0.33,0.12,1.46,-0.55
40,-9.79,0.29,0.51,-0.18,-0.55,-0.18
50,-9.65,0.22,0.40,-0.37,1.28,-0.37
60,-9.79,0.23,0.39,-0.49,0.49,0.55
70,-9.78,0.21,0.41,0.06,0.43,0.00
80,-9.81,0.22,0.27,0.37,2.44,-0.12
90,-9.74,0.26,0.30,-0.06,1.04,0.06
100,-9.79,0.28,0.26,-0.98,-0.18,1.04
110,-9.78,0.21,0.34,-1.28,0.00,0.18
120,-9.75,0.22,0.37,-0.49,-0.12,-0.06
130,-9.78,0.14,0.48,0.06,-0.43,0.18
140,-9.78,0.16,0.47,0.49,0.37,0.67
150,-9.75,0.17,0.39,0.55,0.12,-0.92
160,-9.84,0.28,0.31,0.92,1.04,-0.55
170,-9.75,0.25,0.31,-1.59,0.49,0.85
180,-9.78,0.16,0.34,-0.85,0.06,0.18
190,-9.79,0.23,0.30,1.10,1.53,0.85
200,-9.75,0.26,0.34,0.00,0.55,-0.67
210,-9.84,0.23,0.42,0.73,0.55,0.24
220,-9.70,0.21,0.41,0.06,-0.18,-0.43
230,-9.76,0.27,0.39,0.12,0.49,0.61
240,-9.75,0.26,0.39,0.06,0.12,0.67
250,-9.86,0.30,0.35,-0.43,0.06,-0.98
260,-9.78,0.27,0.26,0.85,1.28,0.00
270,-9.74,0.33,0.32,-0.18,1.53,0.37
280,-9.73,0.26,0.32,0.67,0.43,0.12
290,-9.74,0.24,0.40,-0.85,0.12,-0.31
300,-9.78,0.25,0.35,-0.49,0.18,-0.67
310,-9.84,0.16,0.41,-0.06,-0.06,0.37
320,-9.71,0.23,0.36,-0.55,0.06,0.12
330,-9.74,0.26,0.33,0.49,0.55,1.04
340,-9.78,0.22,0.35,0.61,1.10,0.12
350,-9.78,0.31,0.30,2.14,2.14,-0.55
360,-9.78,0.22,0.27,-0.31,-0.61,-0.43
370,-9.77,0.18,0.40,-0.24,0.49,-0.31
380,-9.78,0.20,0.41,0.49,1.04,-0.06
390,-9.77,0.25,0.48,0.31,0.85,0.49
400,-9.79,0.23,0.35,-0.55,0.67,0.31
410,-9.71,0.24,0.31,-0.92,-0.12,0.06
420,-9.75,0.28,0.26,0.73,1.59,0.24
430,-9.80,0.22,0.35,-0.98,0.31,-0.43
440,-9.71,0.21,0.35,-0.73,0.12,-0.73
450,-9.83,0.20,0.33,0.06,0.00,-0.31
460,-9.77,0.24,0.31,0.37,0.24,0.12
470,-9.73,0.21,0.43,0.61,0.85,0.00
480,-9.75,0.27,0.34,-0.49,0.31,-0.49
490,-9.82,0.25,0.33,0.24,0.85,0.06
500,-9.83,0.16,0.45,-0.37,-0.73,-0.12
510,-9.77,0.26,0.42,0.49,1.28,0.37
520,-9.86,0.24,0.40,0.12,1.16,0.73
530,-9.71,0.32,0.32,0.49,1.65,0.24
540,-9.82,0.25,0.35,-1.16,0.67,-0.85
550,-9.76,0.29,0.30,0.18,0.98,0.49
560,-9.80,0.31,0.32,0.61,1.04,0.24
570,-9.80,0.17,0.38,0.73,1.28,1.10
580,-9.80,0.25,0.46,0.24,1.22,0.92
590,-9.77,0.30,0.38,0.73,1.28,-0.43
600,-9.80,0.18,0.38,0.55,0.67,-0.67
