timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
1,-0.07,9.83,0.50,0.73,0.43,-0.49
10,-0.03,9.85,0.55,0.06,1.22,1.16
20,-0.02,9.84,0.59,-0.24,1.16,0.37
30,-0.02,9.88,0.53,1.16,0.79,-0.98
40,-0.03,9.84,0.57,0.06,0.85,0.67
50,-0.03,9.87,0.48,0.73,0.24,0.24
60,-0.11,9.92,0.46,0.24,0.85,-0.37
70,-0.04,9.85,0.52,0.49,1.46,-0.31
80,-0.13,9.85,0.50,0.79,0.73,-0.24
90,-0.11,9.79,0.50,0.24,0.92,-0.06
100,-0.10,9.85,0.59,0.37,0.61,-0.24
110,-0.21,9.85,0.50,-0.37,0.31,0.24
120,-0.13,9.87,0.52,0.49,0.18,-0.24
130,-0.08,9.85,0.51,0.61,1.16,-0.24
140,0.01,9.89,0.58,0.98,0.55,0.79
150,-0.11,9.89,0.48,0.55,1.22,-0.49
160,-0.19,9.83,0.57,0.00,0.24,0.06
170,-0.14,9.83,0.56,-0.24,1.04,0.49
180,-0.11,9.90,0.55,-0.85,0.49,-0.55
190,-0.16,9.81,0.54,0.43,1.46,0.85
200,-0.16,9.88,0.52,0.49,0.18,0.00
210,-0.13,9.84,0.47,-0.31,0.73,-0.49
220,-0.11,9.85,0.50,0.31,1.34,-0.24
230,-0.17,9.85,0.54,0.31,1.89,0.37
240,-0.07,9.83,0.56,0.67,1.04,0.12
250,-0.09,9.84,0.47,0.06,1.53,0.43
260,-0.07,9.87,0.58,0.37,0.31,0.67
270,-0.06,9.75,0.61,0.31,0.79,-0.31
280,-0.04,9.80,0.59,1.22,0.37,-0.61
290,-0.05,9.85,0.62,0.31,1.59,0.61
300,-0.05,9.77,0.54,0.61,0.61,-0.43
310,-0.05,9.87,0.49,1.04,0.73,0.24
320,-0.11,9.85,0.51,0.92,1.59,-0.18
330,-0.05,9.83,0.55,0.98,0.92,-0.24
340,-0.14,9.76,0.58,-0.12,0.43,0.43
350,-0.10,9.83,0.55,0.00,0.85,0.37
360,-0.11,9.87,0.54,-0.24,0.00,-0.06
370,-0.05,9.89,0.50,-0.43,0.92,0.31
380,-0.18,9.82,0.59,-0.12,0.61,-0.37
390,-0.11,9.91,0.53,-0.18,0.61,-0.43
400,-0.18,9.87,0.59,-0.06,-0.31,0.31
410,-0.07,9.90,0.52,0.73,1.40,0.31
420,-0.02,9.87,0.57,0.73,1.59,-0.37
430,-0.04,9.79,0.61,0.37,0.92,-0.18
440,-0.02,9.89,0.55,0.06,0.73,0.67
450,-0.16,9.79,0.55,0.43,1.10,0.61
460,-0.08,9.80,0.45,-0.31,0.85,0.12
470,-0.11,9.79,0.50,0.24,1.04,-0.31
480,-0.21,9.79,0.60,-0.73,0.37,0.67
490,-0.12,9.80,0.55,0.37,0.24,0.43
500,-0.03,9.85,0.53,-0.37,0.49,0.73
510,0.02,9.88,0.54,-0.55,-0.43,0.98
520,0.04,9.80,0.55,1.16,1.10,0.37
530,-0.08,9.89,0.50,0.73,0.92,-0.18
540,-0.11,9.90,0.49,-0.12,0.06,0.12
550,-0.05,9.84,0.52,0.24,1.53,-0.24
560,-0.09,9.87,0.47,-1.10,0.12,0.55
570,-0.09,9.84,0.51,0.31,0.85,-0.12
580,0.05,9.95,0.50,0.61,1.71,0.67
590,-0.11,9.90,0.58,0.67,1.10,-0.06
600,-0.14,9.84,0.56,0.06,0.18,-0.85
610,-0.11,9.81,0.50,-0.24,0.24,-0.06
620,-0.21,9.92,0.51,0.61,0.85,-0.49
630,-0.08,9.87,0.50,1.22,1.77,0.12
640,-0.03,9.80,0.50,0.92,0.00,0.61
650,-0.07,9.88,0.53,-0.55,-0.24,0.49
660,-0.05,9.88,0.50,0.67,1.95,-0.49
670,-0.08,9.92,0.60,0.43,0.43,0.37
680,-0.17,9.82,0.58,0.43,1.22,-0.61
690,-0.07,9.85,0.55,-0.37,0.37,0.06
700,-0.13,9.89,0.51,0.00,1.04,0.06
710,-0.08,9.79,0.49,0.18,0.61,0.37
720,-0.08,9.83,0.47,0.06,1.10,-0.06
730,-0.12,9.84,0.52,-0.06,1.22,0.06
740,-0.03,9.96,0.48,0.24,1.34,0.79
750,-0.11,9.82,0.52,-0.12,0.24,1.10
760,-0.09,9.92,0.51,-0.31,1.40,0.49
770,-0.12,9.88,0.49,-0.67,0.98,0.31
780,-0.07,9.90,0.55,0.49,0.67,0.06
790,0.03,9.82,0.50,-0.31,1.46,-0.31
800,-0.04,9.88,0.50,-0.79,0.18,0.49
810,-0.05,9.89,0.46,-0.67,0.67,0.00
820,-0.16,9.82,0.49,0.37,1.04,0.55
830,-0.12,9.85,0.54,-0.43,0.12,0.00
840,-0.19,9.86,0.57,0.67,1.59,0.12
850,-0.11,9.83,0.62,-0.49,-0.37,-0.31
860,-0.11,9.86,0.48,0.37,1.10,0.79
870,-0.03,9.87,0.48,-0.24,0.49,-0.92
880,-0.08,9.89,0.49,0.37,1.34,0.37
890,-0.10,9.83,0.56,-1.04,0.31,0.24
900,-0.07,9.87,0.51,0.24,1.59,-0.12
910,-0.17,9.91,0.51,-0.31,0.31,-0.67
920,-0.11,9.89,0.50,-0.06,1.16,0.43
930,-0.11,9.82,0.46,0.37,0.43,-0.31
940,-0.07,9.89,0.43,0.43,0.18,-0.18
950,-0.17,9.91,0.47,-0.06,0.55,0.37
960,-0.11,9.84,0.54,0.31,0.92,-0.43
970,-0.06,9.85,0.60,0.43,1.46,0.00
980,-0.08,9.88,0.49,0.61,1.16,0.73
990,-0.09,9.91,0.47,0.67,0.49,0.12
1000,-0.05,9.85,0.43,-0.06,1.04,0.49
1010,-0.07,9.91,0.56,-0.49,0.73,0.12
1020,-0.07,9.96,0.59,-0.31,0.43,0.18
1030,-0.06,9.91,0.56,-0.18,0.18,-0.06
1040,-0.04,9.84,0.59,0.24,0.79,0.37
1050,-0.05,9.86,0.57,0.18,0.24,0.06
1060,-0.13,9.83,0.48,-0.31,0.73,-0.31
1070,-0.04,9.94,0.55,0.43,1.53,-0.37
1080,-0.05,9.88,0.58,0.00,0.55,0.43
1090,-0.16,9.88,0.41,0.79,0.92,-0.24
1100,-0.02,9.88,0.43,0.92,0.67,0.49
1110,-0.05,9.94,0.52,0.61,0.49,0.12
1120,-0.11,9.89,0.54,0.79,0.06,-0.55
