timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
1,0.00,9.86,0.46,-0.06,0.98,0.73
10,-0.01,9.94,0.51,0.43,0.79,0.43
20,-0.01,9.91,0.53,-0.85,-0.43,-0.18
30,-0.07,9.82,0.50,1.22,2.01,0.18
40,-0.00,9.89,0.47,-0.24,-0.06,0.12
50,-0.04,9.84,0.52,0.00,1.22,0.00
60,-0.11,9.83,0.47,-0.37,0.24,0.00
70,-0.01,9.88,0.54,-0.24,0.49,-0.31
80,-0.03,9.91,0.39,0.06,1.04,0.06
90,-0.02,9.86,0.55,0.00,0.61,-0.24
100,0.08,9.87,0.43,0.12,0.92,0.12
110,0.01,9.87,0.49,0.00,-0.12,0.12
120,-0.04,9.78,0.44,0.61,0.18,-0.18
130,-0.01,9.84,0.52,-0.31,-0.43,0.43
140,0.06,9.83,0.52,0.92,0.12,0.61
150,-0.08,9.89,0.41,0.18,0.92,0.12
160,-0.01,9.89,0.40,0.49,1.16,0.79
170,-0.02,9.99,0.49,-0.73,-0.37,0.37
180,-0.04,9.94,0.48,-0.12,0.49,-0.24
190,0.02,9.81,0.48,0.31,1.28,0.55
200,-0.03,9.87,0.49,-0.61,0.06,-0.06
210,-0.07,9.97,0.51,-0.24,0.98,0.06
220,-0.11,9.91,0.50,0.24,-0.18,-0.67
230,0.01,9.80,0.52,0.24,0.73,0.06
240,-0.00,9.88,0.51,-0.06,0.67,0.12
250,-0.02,9.82,0.38,0.37,-0.12,-0.31
260,-0.02,9.87,0.52,0.00,-0.18,-0.24
270,0.03,9.87,0.51,0.12,1.28,0.06
280,-0.11,9.93,0.50,0.37,0.37,0.06
290,-0.05,9.87,0.48,0.12,0.12,0.18
300,-0.10,9.92,0.53,0.00,1.22,0.24
310,-0.00,9.91,0.40,0.18,0.73,-0.18
320,0.06,9.77,0.47,0.73,1.95,0.06
330,-0.05,9.77,0.56,0.43,1.46,-0.61
340,0.04,9.94,0.52,0.06,0.37,-0.85
350,-0.01,9.83,0.48,0.00,0.67,0.12
360,-0.02,9.91,0.50,-0.12,0.55,-0.12
370,0.01,9.84,0.44,0.55,1.22,-0.37
380,-0.03,9.89,0.49,0.24,0.49,0.49
390,0.01,9.86,0.47,-0.24,-0.06,0.06
400,0.05,9.80,0.44,0.67,0.85,-0.24
410,0.01,9.89,0.46,0.67,1.28,-0.37
420,-0.02,9.74,0.47,-0.06,0.31,0.55
430,-0.01,9.85,0.50,-0.18,0.00,-0.31
440,-0.05,9.89,0.52,-0.43,-0.37,0.24
450,0.04,9.81,0.48,-0.18,0.92,0.49
460,-0.02,9.89,0.48,-0.18,-0.37,0.12
470,-0.03,9.88,0.49,1.04,1.22,-0.31
480,-0.05,9.89,0.54,0.37,1.46,0.85
490,-0.11,9.86,0.41,0.00,0.24,0.49
500,-0.05,9.82,0.47,-0.06,0.98,-0.49
510,-0.01,9.90,0.46,0.24,1.34,-0.31
520,0.02,9.89,0.46,-0.67,-0.06,-0.85
530,0.00,9.85,0.42,-0.31,0.67,-0.67
540,-0.06,9.78,0.46,0.85,1.28,-0.31
550,-0.03,9.91,0.44,0.31,1.34,-0.18
560,-0.05,9.82,0.57,-0.18,1.10,-0.79
570,-0.00,9.94,0.51,1.10,1.89,0.18
580,-0.04,9.87,0.46,0.37,0.55,-0.49
590,-0.06,9.78,0.46,0.61,1.95,-0.73
600,0.05,9.91,0.52,0.49,0.43,-0.98
610,-0.00,9.82,0.49,0.00,-0.18,-0.12
620,-0.00,9.89,0.55,-0.55,0.06,-0.06
630,0.03,9.91,0.49,0.12,1.59,0.37
640,0.00,9.96,0.39,0.24,0.73,-0.18
650,-0.02,9.87,0.45,-0.31,-0.18,0.24
660,0.00,9.81,0.43,0.24,-0.12,0.18
670,0.06,9.79,0.42,0.06,0.79,-0.12
680,0.01,9.89,0.55,1.10,1.95,-0.12
690,-0.04,9.95,0.46,0.55,1.10,0.24
700,0.02,9.88,0.48,-0.92,0.31,0.43
710,0.04,9.87,0.47,0.00,0.98,0.18
720,0.01,9.87,0.43,-0.43,-1.22,0.12
730,-0.04,9.96,0.44,0.06,0.73,0.31
740,0.02,9.86,0.41,-0.98,-0.12,-0.67
750,0.00,9.89,0.43,-0.24,0.12,-0.37
760,0.05,9.79,0.39,0.06,0.67,0.55
770,0.11,9.83,0.63,-0.67,-0.43,0.06
780,0.00,9.84,0.54,-0.24,0.18,0.24
790,0.03,9.96,0.47,0.24,0.00,0.67
800,-0.03,9.84,0.49,0.24,1.16,-0.06
810,-0.06,9.83,0.49,-0.49,-0.67,0.00
820,0.01,9.89,0.48,-0.12,0.67,0.37
830,-0.07,9.83,0.59,0.18,0.67,0.37
840,-0.04,9.87,0.58,-0.37,0.31,0.12
850,-0.09,9.93,0.44,-0.12,0.55,0.55
860,-0.06,9.86,0.43,0.31,0.43,-0.18
870,-0.03,9.85,0.55,0.31,0.79,0.18
880,-0.05,9.88,0.50,-0.06,0.12,-0.49
890,-0.02,9.90,0.53,-0.18,1.40,-0.18
900,0.01,9.86,0.45,0.24,0.67,-0.37
910,0.00,9.89,0.44,0.24,0.24,0.12
920,-0.01,9.82,0.51,0.67,1.95,0.61
930,-0.03,9.86,0.51,0.06,1.04,0.00
940,0.05,9.86,0.52,-0.73,0.37,-0.12
950,0.02,9.91,0.49,-0.12,0.67,-0.12
960,-0.03,9.83,0.50,0.12,0.67,0.73
970,-0.04,9.96,0.48,0.12,0.43,-0.37
980,-0.14,9.89,0.48,-0.12,0.79,0.06
990,-0.01,9.78,0.51,0.85,1.34,0.00
1000,0.03,9.84,0.51,-0.98,-0.06,-0.31
1010,-0.01,9.92,0.47,0.31,1.22,0.61
1020,-0.06,9.90,0.55,0.67,0.31,0.92
1030,0.01,9.89,0.54,0.49,0.18,0.00
1040,-0.03,9.95,0.47,0.92,1.22,-0.06
1050,-0.03,9.91,0.52,-0.06,1.16,0.00
1060,-0.07,9.82,0.49,0.00,0.67,-0.06
1070,-0.04,9.86,0.49,-0.06,0.49,0.06
1080,-0.09,9.84,0.47,-0.37,0.00,-0.61
1090,-0.01,9.85,0.44,-1.59,-1.10,0.18
1100,0.02,9.84,0.41,-0.06,0.49,-0.06
1110,-0.02,9.88,0.48,0.37,1.04,-0.61
1120,-0.03,9.91,0.38,-0.12,0.55,0.61
1130,0.01,9.93,0.49,-0.18,0.43,-0.49
1140,0.04,9.87,0.52,0.00,0.73,-0.43
1150,0.00,9.84,0.51,-0.98,-0.24,-0.06
1160,0.01,9.94,0.46,0.55,0.43,-0.73
1170,-0.04,9.86,0.51,0.67,0.73,-0.98
1180,-0.06,9.80,0.53,-0.06,1.10,-0.18
1190,-0.02,9.84,0.48,0.24,-0.18,0.43
1200,-0.04,9.88,0.50,1.16,1.65,0.49
1210,-0.01,9.86,0.49,0.06,1.10,-0.18
1220,-0.03,9.91,0.50,-0.92,-0.61,0.49
1230,0.01,9.88,0.50,0.18,0.49,0.79
1240,-0.00,9.85,0.53,-0.06,0.67,0.31
1250,0.01,9.87,0.55,0.43,0.43,0.06
1260,0.04,9.84,0.49,-0.37,0.06,0.55
1270,0.05,9.78,0.47,-0.43,0.43,0.12
1280,-0.01,9.89,0.50,0.12,1.77,0.55
1290,-0.03,9.78,0.50,-0.24,-0.24,-0.12
1300,0.01,9.87,0.53,-0.43,-0.37,-0.37
1310,-0.01,9.83,0.47,0.61,0.18,-0.06
1320,-0.06,9.84,0.48,-0.12,-0.43,0.43
1330,-0.03,9.88,0.47,0.18,0.67,0.18
1340,-0.07,9.90,0.47,0.18,0.73,-0.24
1350,-0.01,9.90,0.51,0.55,1.04,-0.24
1360,0.00,9.88,0.44,0.61,1.04,-0.61
1370,-0.07,9.86,0.52,0.06,0.98,-0.37
1380,0.05,9.87,0.56,0.31,0.61,-0.85
1390,0.03,9.84,0.54,-1.16,-0.55,-0.49
1400,0.01,9.91,0.49,-0.12,0.49,-0.12
1410,-0.05,9.89,0.59,0.12,0.85,-0.67
1420,-0.02,9.89,0.54,1.40,0.67,0.24
1430,-0.05,9.88,0.50,-0.12,0.61,-0.06
1440,-0.03,9.89,0.48,0.24,0.31,0.18
1450,-0.04,9.88,0.53,-0.49,0.43,-0.73
1460,0.05,9.86,0.43,0.61,0.79,-0.43
1470,-0.02,9.83,0.49,-0.79,0.00,-0.31
1480,0.02,9.85,0.48,-0.43,0.00,-0.73
1490,-0.02,9.86,0.49,0.67,1.04,-0.61
