timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
1,-0.10,9.83,0.49,0.24,0.18,0.37
10,-0.17,9.87,0.44,0.73,1.04,0.00
20,-0.15,9.86,0.49,0.79,0.18,0.18
30,-0.08,9.88,0.48,0.18,0.61,0.31
40,-0.13,9.84,0.52,0.49,1.34,1.16
50,-0.24,9.97,0.54,-0.24,0.67,0.06
60,-0.29,9.92,0.60,-0.06,0.67,-0.61
70,-0.22,9.79,0.59,-0.79,0.06,0.79
80,-0.25,9.83,0.58,-0.92,0.12,0.61
90,-0.16,9.88,0.49,0.98,0.79,1.04
100,-0.20,9.85,0.46,0.18,0.85,-0.55
110,-0.15,9.84,0.42,1.34,0.49,0.92
120,-0.11,9.83,0.47,0.61,0.85,1.16
130,-0.16,9.88,0.42,-0.43,-0.37,0.43
140,-0.01,9.81,0.48,1.10,0.92,1.04
150,-0.18,9.92,0.51,0.92,0.73,0.55
160,-0.12,9.89,0.58,0.67,1.16,0.18
170,-0.21,9.88,0.56,0.73,1.04,0.24
180,-0.07,9.91,0.59,0.37,0.92,0.18
190,-0.14,9.87,0.55,0.67,1.16,0.18
200,-0.17,9.81,0.50,0.67,1.22,-0.12
210,-0.21,9.85,0.51,-0.12,-0.18,-0.31
220,-0.18,9.84,0.49,1.28,1.83,0.18
230,-0.12,9.88,0.49,0.06,0.85,0.61
240,-0.09,9.88,0.51,0.00,0.67,0.00
250,-0.21,9.92,0.58,0.49,0.73,0.37
260,-0.17,9.85,0.45,-0.24,0.49,0.79
270,-0.17,9.87,0.47,0.06,0.12,0.92
280,-0.15,9.89,0.51,-0.49,0.73,0.31
290,-0.15,9.92,0.49,1.46,1.71,0.73
300,-0.19,9.72,0.48,0.18,0.67,0.18
310,-0.08,9.97,0.49,-0.49,-0.43,1.04
320,-0.20,9.88,0.52,0.37,1.22,0.73
330,-0.14,9.81,0.62,0.55,0.92,0.85
340,-0.01,9.85,0.46,0.31,0.24,-0.12
350,-0.07,9.88,0.48,0.37,0.18,-0.24
360,-0.13,9.84,0.55,0.92,-0.12,0.31
370,-0.12,9.91,0.47,0.55,1.46,0.06
380,-0.19,9.84,0.52,-0.06,0.49,0.92
390,-0.12,9.83,0.43,0.12,0.00,-0.12
400,-0.16,9.79,0.48,-0.55,0.18,-0.24
410,-0.15,9.85,0.52,-0.49,-0.67,-0.37
420,-0.15,9.92,0.56,0.98,1.16,0.85
430,-0.16,9.89,0.53,0.61,1.46,0.12
440,-0.07,9.89,0.51,0.92,0.61,0.24
450,-0.14,9.83,0.47,0.06,0.24,0.49
460,-0.14,9.96,0.50,-0.37,-0.37,-0.37
470,-0.16,9.85,0.47,0.92,0.92,0.85
480,-0.10,9.86,0.59,0.49,0.43,-0.18
490,-0.10,9.84,0.53,0.61,0.49,0.49
500,-0.14,9.88,0.53,0.37,0.18,0.43
