timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
1,-0.04,9.90,0.70,0.85,0.55,-0.12
10,-0.06,9.90,0.48,0.73,-0.67,-0.37
20,-0.13,9.74,0.38,0.06,-0.43,-1.10
30,-0.06,9.81,0.36,0.00,0.98,0.79
40,-0.00,9.92,0.42,-0.06,0.24,0.55
50,-0.07,9.87,0.53,-0.18,0.49,-0.31
60,-0.06,9.74,0.49,-0.18,1.46,0.12
70,-0.13,9.84,0.55,0.37,0.06,-0.43
80,-0.08,9.87,0.51,-0.12,0.24,-0.37
90,-0.14,9.86,0.51,0.79,1.34,0.12
100,-0.06,9.86,0.60,0.24,0.55,0.06
110,-0.08,9.80,0.50,0.24,0.55,0.37
120,-0.10,9.86,0.51,-0.61,0.06,0.06
130,-0.14,9.88,0.51,-0.49,0.37,0.92
140,-0.10,9.91,0.49,0.31,0.55,0.55
150,-0.06,9.87,0.50,0.24,-0.06,0.12
160,-0.00,9.86,0.56,-0.37,-0.43,-0.73
170,-0.14,9.85,0.51,-0.85,-0.18,0.37
180,-0.05,9.84,0.41,0.98,0.79,-0.12
190,-0.07,9.92,0.49,-0.98,0.67,-0.61
200,-0.12,9.83,0.51,0.43,1.22,-0.18
210,0.01,9.89,0.52,-0.79,0.00,-0.31
220,-0.08,9.85,0.40,-0.12,0.49,0.24
230,-0.08,9.96,0.49,-0.73,-0.67,0.55
240,-0.06,9.82,0.46,0.24,1.10,0.12
250,-0.03,9.90,0.41,-0.61,-0.31,0.61
260,-0.05,9.91,0.51,0.55,0.24,0.49
270,-0.10,9.79,0.54,-0.18,-0.18,-0.12
280,-0.08,9.84,0.53,0.18,-0.31,0.31
290,-0.07,9.91,0.50,-0.06,0.98,-0.61
300,-0.17,9.77,0.50,0.37,-0.24,0.00
310,-0.20,9.84,0.57,0.61,0.73,0.18
320,0.03,9.81,0.48,0.55,0.61,-0.06
330,-0.04,9.84,0.53,0.61,0.55,-0.55
340,-0.11,9.82,0.48,0.37,1.04,0.37
350,0.01,9.91,0.47,-0.06,-0.43,0.43
360,-0.15,9.82,0.49,0.12,-0.06,0.61
370,-0.09,9.91,0.48,-0.18,0.85,0.18
380,-0.05,9.91,0.47,-0.67,0.18,0.31
390,-0.02,9.87,0.42,0.43,-0.12,0.43
400,-0.06,9.88,0.43,0.31,0.24,0.79
410,-0.15,9.89,0.48,-0.43,0.67,0.67
420,-0.12,9.81,0.64,-0.37,0.24,-0.43
430,-0.02,9.82,0.55,-0.67,0.18,0.92
440,-0.00,9.86,0.43,-0.06,0.55,-0.24
450,-0.06,9.89,0.42,-0.06,-0.24,0.00
460,-0.06,9.88,0.51,0.06,0.31,0.12
470,-0.09,9.92,0.52,0.31,0.92,0.55
480,-0.09,9.85,0.59,0.12,1.04,0.43
490,-0.06,9.93,0.44,0.24,0.06,-0.31
500,-0.08,9.84,0.50,0.55,0.67,0.31
510,-0.11,9.92,0.48,-0.67,-0.73,-0.06
520,-0.06,9.88,0.47,0.31,-0.12,-0.12
530,-0.11,9.94,0.52,-0.37,0.98,0.24
540,-0.05,9.87,0.43,-0.43,-0.12,-0.18
550,-0.04,9.91,0.43,0.18,0.85,-0.55
560,-0.15,9.90,0.39,-0.18,0.24,-0.12
570,-0.06,9.94,0.38,-0.79,-0.18,-0.18
580,-0.06,9.79,0.55,-0.49,0.49,0.12
590,-0.03,9.93,0.59,0.06,0.00,0.67
600,-0.06,9.86,0.53,0.06,0.73,0.18
610,-0.06,9.85,0.57,0.43,0.85,0.92
620,-0.12,9.87,0.50,1.10,0.98,0.37
630,-0.02,9.89,0.49,0.37,0.61,0.06
