timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
1,0.02,9.89,0.51,0.55,0.98,0.43
10,0.02,9.83,0.52,-0.37,0.79,0.85
20,-0.05,9.79,0.58,-0.12,0.49,0.43
30,-0.02,10.00,0.51,0.37,0.79,0.37
40,-0.11,9.87,0.52,0.24,0.85,0.79
50,-0.05,9.89,0.48,0.24,0.31,0.24
60,-0.08,9.81,0.50,-1.40,-0.49,0.55
70,0.01,9.86,0.43,0.31,0.31,0.18
80,-0.09,9.80,0.59,0.06,0.43,-0.06
90,-0.05,9.84,0.50,0.00,0.43,0.24
100,0.04,9.90,0.48,-0.85,0.73,-0.18
110,-0.09,9.87,0.52,-0.12,0.61,-0.24
120,0.03,9.93,0.39,0.31,0.85,-0.12
130,0.03,9.86,0.52,0.55,0.43,-0.79
140,-0.01,9.82,0.47,-0.49,0.67,-0.37
150,-0.05,9.80,0.59,0.31,-0.12,-0.12
160,0.05,9.86,0.50,0.79,0.61,-0.55
170,-0.03,9.98,0.51,0.43,0.67,-0.92
180,-0.06,9.88,0.52,-0.55,0.61,-0.18
190,-0.02,9.89,0.45,0.37,1.10,-0.18
200,-0.02,9.87,0.54,-0.79,-1.40,0.49
210,-0.07,9.93,0.39,-0.67,-0.12,-0.61
220,0.01,9.91,0.43,1.40,1.89,0.49
230,-0.04,9.86,0.45,-0.24,0.12,0.85
240,0.01,9.86,0.46,-0.06,0.92,0.00
250,-0.07,9.86,0.48,-0.98,-0.24,-0.18
260,-0.05,9.88,0.47,-0.43,1.04,1.53
270,-0.07,9.78,0.54,-0.12,0.43,0.24
280,-0.11,9.80,0.46,0.12,0.73,-0.12
290,-0.09,9.82,0.47,0.37,0.79,0.49
300,-0.05,9.86,0.50,0.06,0.92,0.12
310,0.04,9.89,0.57,-0.24,0.12,-0.31
320,-0.11,9.91,0.48,0.31,1.65,-0.31
330,-0.05,9.88,0.52,0.55,1.34,-0.18
340,0.01,9.84,0.49,-0.79,0.43,0.06
350,0.05,9.80,0.50,-0.67,-0.31,0.79
360,-0.00,9.93,0.60,0.55,0.61,0.61
370,-0.09,9.85,0.51,0.37,0.49,0.12
380,-0.04,9.83,0.52,-0.18,-0.92,-0.49
390,-0.08,9.86,0.48,0.31,1.10,0.61
400,-0.06,9.77,0.44,0.00,0.79,0.00
410,-0.01,9.94,0.39,-0.67,0.18,0.18
420,-0.03,9.83,0.44,0.55,1.04,-0.31
430,-0.05,9.90,0.51,-0.37,0.43,-0.49
440,-0.05,9.91,0.48,0.31,0.73,0.12
450,-0.02,9.90,0.55,0.06,0.49,0.00
460,-0.02,9.97,0.57,-0.24,-0.49,0.12
470,0.04,9.88,0.53,0.67,1.04,-0.06
480,-0.05,9.84,0.58,0.12,-0.49,-0.12
490,0.06,9.86,0.44,-0.12,0.85,-0.55
500,-0.06,9.82,0.45,-0.79,0.24,0.43
510,-0.03,9.86,0.52,-0.92,0.12,0.24
520,-0.01,9.84,0.54,-0.73,-0.61,-0.12
530,-0.06,9.88,0.55,0.55,0.37,-0.12
540,-0.03,9.93,0.51,-0.49,0.55,-0.55
550,-0.01,9.88,0.42,0.12,0.67,-0.18
560,-0.06,9.94,0.44,-0.18,-0.24,0.24
570,-0.03,9.83,0.46,0.12,-0.37,-1.04
580,-0.06,9.89,0.50,-0.67,-0.06,0.49
590,-0.05,9.98,0.50,0.43,1.59,-0.31
600,-0.04,9.79,0.50,-0.43,-0.37,0.00
610,-0.02,9.91,0.51,-0.79,0.06,-0.37
620,-0.05,9.87,0.50,0.43,1.77,0.31
630,-0.06,9.83,0.47,-0.12,0.18,0.18
