timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
1,-0.12,9.90,0.55,-0.12,-0.18,-0.18
10,-0.10,9.84,0.50,0.24,1.34,-1.04
20,-0.08,9.81,0.48,0.18,1.04,1.16
30,-0.11,9.89,0.52,0.12,0.37,0.00
40,-0.08,9.85,0.49,-0.37,0.31,1.28
50,-0.04,9.80,0.54,0.55,0.49,0.31
60,-0.04,9.91,0.54,-0.06,1.04,-0.12
70,-0.05,9.80,0.55,0.12,0.12,0.12
80,0.01,9.86,0.52,-0.18,0.55,-0.79
90,-0.03,9.89,0.55,0.18,0.98,0.24
100,-0.02,9.87,0.49,0.24,0.79,0.55
110,-0.13,9.85,0.47,-0.43,0.43,0.06
120,-0.12,9.81,0.54,0.85,0.73,-0.37
130,-0.04,9.86,0.49,-0.31,0.67,-0.37
140,-0.06,9.83,0.51,1.22,0.73,-0.61
150,-0.02,9.90,0.44,0.31,-0.31,0.43
160,-0.12,9.86,0.56,-0.49,0.37,-0.31
170,-0.10,9.90,0.48,0.61,1.04,-0.43
180,-0.07,9.83,0.49,-0.37,0.73,0.43
190,-0.12,9.88,0.53,-0.18,0.43,-0.18
200,-0.05,9.81,0.47,0.06,0.67,0.55
210,-0.04,9.84,0.55,-0.12,0.49,-0.37
220,-0.04,9.83,0.60,-0.31,0.92,0.37
230,0.00,9.84,0.54,0.00,0.67,0.00
240,-0.05,9.86,0.49,0.18,0.92,-0.12
250,-0.05,9.95,0.52,0.73,1.34,-0.12
260,0.04,9.86,0.41,1.28,0.43,-0.18
270,-0.05,9.81,0.50,0.55,0.06,-1.10
280,-0.09,9.87,0.46,0.31,0.85,-0.18
290,-0.10,9.84,0.62,0.31,1.22,-0.12
300,-0.03,9.88,0.48,0.79,1.34,-0.55
310,-0.14,9.89,0.50,0.18,0.92,0.43
320,-0.12,9.88,0.52,-0.12,0.37,0.06
330,0.00,9.88,0.54,0.31,0.73,0.55
340,-0.08,9.89,0.52,0.98,1.53,-0.06
350,-0.06,9.91,0.48,-0.12,0.73,-0.18
360,-0.12,9.86,0.42,-0.24,-0.06,-0.18
370,-0.08,9.84,0.52,0.92,0.85,0.06
380,-0.12,9.84,0.63,-0.49,0.00,-0.49
390,-0.06,9.89,0.57,0.00,0.00,0.55
400,0.02,9.87,0.41,1.10,1.22,0.55
410,-0.08,9.89,0.44,0.55,1.40,-0.55
420,0.04,9.84,0.44,-0.55,0.18,0.43
430,0.02,9.88,0.58,0.61,0.55,-0.12
440,-0.10,9.88,0.57,0.18,0.73,0.06
450,-0.02,9.85,0.56,-0.67,0.00,-0.12
460,-0.01,9.93,0.42,-0.37,0.61,0.06
470,-0.03,9.84,0.52,-0.24,-0.06,-0.61
480,-0.08,9.86,0.53,0.12,0.37,-0.49
490,-0.04,9.96,0.53,0.73,0.92,0.49
500,-0.09,9.91,0.52,1.04,1.40,0.12
510,-0.14,9.87,0.48,1.34,1.83,0.24
520,-0.04,9.87,0.44,0.06,-0.37,-0.31
530,-0.04,9.87,0.54,-0.24,0.67,0.61
540,-0.10,9.88,0.55,-0.12,0.98,0.67
550,-0.17,9.83,0.57,-0.92,0.67,0.37
560,-0.17,9.88,0.52,0.06,0.12,0.00
570,-0.09,9.90,0.57,0.00,1.16,0.06
580,-0.07,9.86,0.53,0.24,1.59,-0.12
590,-0.04,9.82,0.51,0.06,0.61,-0.98
600,-0.08,9.86,0.51,-0.31,-0.55,-0.49
610,-0.07,9.92,0.45,-0.06,0.67,0.92
620,-0.10,9.80,0.47,0.49,0.98,-0.18
630,-0.19,9.86,0.54,0.24,1.16,0.12
640,-0.06,9.92,0.57,0.67,1.46,-0.67
650,-0.04,9.94,0.48,0.18,0.55,0.73
660,-0.11,9.81,0.57,-0.18,1.28,-0.06
670,-0.13,9.83,0.54,0.24,0.98,0.31
680,-0.04,9.96,0.38,0.18,0.24,0.12
690,-0.08,9.93,0.46,0.00,1.77,-0.24
700,-0.05,9.82,0.56,0.00,1.04,0.61
710,-0.08,9.92,0.51,0.79,1.16,0.12
720,0.03,9.85,0.56,1.40,1.46,-0.12
730,-0.06,9.88,0.52,0.06,0.79,-0.24
740,-0.09,9.85,0.54,0.98,1.59,-0.31
750,-0.07,9.90,0.56,-0.73,0.06,0.92
760,-0.09,9.83,0.49,-0.12,0.24,0.61
770,-0.12,9.88,0.47,0.06,0.98,0.18
780,-0.12,9.85,0.42,0.31,0.73,0.12
790,0.02,9.90,0.46,-0.12,0.12,-0.12
800,-0.05,9.88,0.50,-0.37,0.24,0.18
810,-0.05,9.86,0.50,0.37,0.79,0.67
820,-0.15,9.85,0.50,-0.73,0.73,0.31
830,-0.01,9.95,0.52,0.18,0.92,0.37
840,-0.08,9.84,0.48,-0.55,0.79,-0.67
850,-0.11,9.87,0.45,-0.37,0.43,-0.43
860,-0.12,9.83,0.53,0.31,0.79,0.06
870,-0.11,9.87,0.42,0.12,-0.18,0.31
880,-0.03,9.88,0.52,0.18,-0.24,0.67
890,-0.09,9.82,0.49,-0.92,-0.12,0.43
900,-0.12,9.83,0.52,-0.06,0.37,0.61
910,0.02,9.84,0.52,-0.18,1.34,-0.06
920,-0.14,9.88,0.54,0.12,0.31,-0.18
930,0.01,9.89,0.51,0.43,0.55,0.06
940,-0.07,9.90,0.47,0.85,1.28,0.24
950,-0.07,9.92,0.45,-0.43,0.12,0.49
960,-0.12,9.82,0.53,-0.24,-0.06,-0.79
970,-0.12,9.79,0.60,0.67,1.89,-0.18
980,-0.05,9.85,0.48,0.06,0.73,-0.12
990,-0.07,9.86,0.48,0.18,1.71,-0.12
1000,-0.11,9.87,0.51,-0.12,0.67,-1.40
1010,-0.06,9.86,0.44,1.04,1.77,-0.24
1020,-0.09,9.87,0.49,0.79,1.89,-0.37
1030,-0.07,9.84,0.57,0.18,0.92,0.73
1040,-0.01,9.82,0.49,-1.53,-0.73,0.98
1050,-0.03,9.85,0.53,0.24,1.04,0.00
1060,0.00,9.88,0.55,0.31,1.95,0.31
1070,-0.06,9.88,0.41,0.24,0.92,0.98
1080,-0.02,9.83,0.57,0.49,1.16,0.43
1090,-0.04,9.92,0.48,0.49,0.37,-0.43
1100,-0.06,9.85,0.45,0.79,0.49,-0.12
1110,-0.01,9.88,0.47,0.24,-0.18,-0.06
